term,proposed_topic,source_batch
Audio interception,"Surveillance, Forensic & Covert Audio",Batch 4
Remote audio monitoring,"Surveillance, Forensic & Covert Audio",Batch 4
Remote listening device,"Surveillance, Forensic & Covert Audio",Batch 4
Live monitoring,"Surveillance, Forensic & Covert Audio",Batch 4
Audio intelligence,"Surveillance, Forensic & Covert Audio",Batch 4
Voice collection,"Surveillance, Forensic & Covert Audio",Batch 4
Voice interception,"Surveillance, Forensic & Covert Audio",Batch 4
Body wire microphone,"Surveillance, Forensic & Covert Audio",Batch 4
Pin microphone,"Surveillance, Forensic & Covert Audio",Batch 4
Through-wall microphone,"Surveillance, Forensic & Covert Audio",Batch 4
Beamforming microphone,"Surveillance, Forensic & Covert Audio",Batch 4
Array microphone,"Surveillance, Forensic & Covert Audio",Batch 4
Long-range pickup,"Surveillance, Forensic & Covert Audio",Batch 4
Far-field microphone,"Surveillance, Forensic & Covert Audio",Batch 4
Near-field microphone,"Surveillance, Forensic & Covert Audio",Batch 4
Acoustic zoom,"Surveillance, Forensic & Covert Audio",Batch 4
Acoustic focus,"Surveillance, Forensic & Covert Audio",Batch 4
Directional pickup,"Surveillance, Forensic & Covert Audio",Batch 4
Omnidirectional pickup,"Surveillance, Forensic & Covert Audio",Batch 4
Beam steering,"Surveillance, Forensic & Covert Audio",Batch 4
Acoustic gain,"Surveillance, Forensic & Covert Audio",Batch 4
Target isolation,"Surveillance, Forensic & Covert Audio",Batch 4
Miniature recorder,"Surveillance, Forensic & Covert Audio",Batch 4
Pocket recorder,"Surveillance, Forensic & Covert Audio",Batch 4
Wearable recorder,"Surveillance, Forensic & Covert Audio",Batch 4
Digital voice recorder,"Surveillance, Forensic & Covert Audio",Batch 4
Solid-state recorder,"Surveillance, Forensic & Covert Audio",Batch 4
Flash recorder,"Surveillance, Forensic & Covert Audio",Batch 4
Body recorder,"Surveillance, Forensic & Covert Audio",Batch 4
Evidence recorder,"Surveillance, Forensic & Covert Audio",Batch 4
Continuous recorder,"Surveillance, Forensic & Covert Audio",Batch 4
Event-triggered recorder,"Surveillance, Forensic & Covert Audio",Batch 4
Voice-activated recorder (VOX),"Surveillance, Forensic & Covert Audio",Batch 4
Buffered recording,"Surveillance, Forensic & Covert Audio",Batch 4
Time-stamped recording,"Surveillance, Forensic & Covert Audio",Batch 4
Audio transmitter,"Surveillance, Forensic & Covert Audio",Batch 4
RF transmitter,"Surveillance, Forensic & Covert Audio",Batch 4
Digital transmitter,"Surveillance, Forensic & Covert Audio",Batch 4
Analog transmitter,"Surveillance, Forensic & Covert Audio",Batch 4
Encrypted transmitter,"Surveillance, Forensic & Covert Audio",Batch 4
Low-power transmitter,"Surveillance, Forensic & Covert Audio",Batch 4
Burst transmitter,"Surveillance, Forensic & Covert Audio",Batch 4
Frequency hopping,"Surveillance, Forensic & Covert Audio",Batch 4
Spread spectrum,"Surveillance, Forensic & Covert Audio",Batch 4
Narrowband transmission,"Surveillance, Forensic & Covert Audio",Batch 4
UHF transmitter,"Surveillance, Forensic & Covert Audio",Batch 4
VHF transmitter,"Surveillance, Forensic & Covert Audio",Batch 4
ISM-band transmitter,"Surveillance, Forensic & Covert Audio",Batch 4
Bluetooth audio,"Surveillance, Forensic & Covert Audio",Batch 4
Wi-Fi audio transmission,"Surveillance, Forensic & Covert Audio",Batch 4
Cellular audio transmitter,"Surveillance, Forensic & Covert Audio",Batch 4
GSM audio transmitter,"Surveillance, Forensic & Covert Audio",Batch 4
LTE transmitter,"Surveillance, Forensic & Covert Audio",Batch 4
Audio link,"Surveillance, Forensic & Covert Audio",Batch 4
RF link,"Surveillance, Forensic & Covert Audio",Batch 4
Audio relay,"Surveillance, Forensic & Covert Audio",Batch 4
Remote receiver,"Surveillance, Forensic & Covert Audio",Batch 4
Listening post,"Surveillance, Forensic & Covert Audio",Batch 4
Monitoring station,"Surveillance, Forensic & Covert Audio",Batch 4
Base station,"Surveillance, Forensic & Covert Audio",Batch 4
Relay station,"Surveillance, Forensic & Covert Audio",Batch 4
Audio downlink,"Surveillance, Forensic & Covert Audio",Batch 4
Audio uplink,"Surveillance, Forensic & Covert Audio",Batch 4
Voice enhancement,"Surveillance, Forensic & Covert Audio",Batch 4
Adaptive filtering,"Surveillance, Forensic & Covert Audio",Batch 4
Wind filtering,"Surveillance, Forensic & Covert Audio",Batch 4
Voice isolation,"Surveillance, Forensic & Covert Audio",Batch 4
Speech extraction,"Surveillance, Forensic & Covert Audio",Batch 4
Target voice enhancement,"Surveillance, Forensic & Covert Audio",Batch 4
Speaker recognition,"Surveillance, Forensic & Covert Audio",Batch 4
Voiceprint,"Surveillance, Forensic & Covert Audio",Batch 4
Voice signature,"Surveillance, Forensic & Covert Audio",Batch 4
Formant analysis,"Surveillance, Forensic & Covert Audio",Batch 4
Pitch analysis,"Surveillance, Forensic & Covert Audio",Batch 4
Harmonic analysis,"Surveillance, Forensic & Covert Audio",Batch 4
Phonetic analysis,"Surveillance, Forensic & Covert Audio",Batch 4
Acoustic shadow,"Surveillance, Forensic & Covert Audio",Batch 4
Audio monitoring,"Surveillance, Forensic & Covert Audio",Batch 4
Continuous monitoring,"Surveillance, Forensic & Covert Audio",Batch 4
Remote monitoring,"Surveillance, Forensic & Covert Audio",Batch 4
Passive monitoring,"Surveillance, Forensic & Covert Audio",Batch 4
Active monitoring,"Surveillance, Forensic & Covert Audio",Batch 4
Audio surveillance network,"Surveillance, Forensic & Covert Audio",Batch 4
Multi-channel recorder,"Surveillance, Forensic & Covert Audio",Batch 4
Channel synchronization,"Surveillance, Forensic & Covert Audio",Batch 4
Time synchronization,"Surveillance, Forensic & Covert Audio",Batch 4
Forensic audio,"Surveillance, Forensic & Covert Audio",Batch 4
Evidence recording,"Surveillance, Forensic & Covert Audio",Batch 4
Audio authentication,"Surveillance, Forensic & Covert Audio",Batch 4
Recording authentication,"Surveillance, Forensic & Covert Audio",Batch 4
Audio integrity,"Surveillance, Forensic & Covert Audio",Batch 4
Waveform comparison,"Surveillance, Forensic & Covert Audio",Batch 4
Spectral comparison,"Surveillance, Forensic & Covert Audio",Batch 4
Recording continuity,"Surveillance, Forensic & Covert Audio",Batch 4
Tamper detection,"Surveillance, Forensic & Covert Audio",Batch 4
TSCM,"Surveillance, Forensic & Covert Audio",Batch 4
Bug sweep,"Surveillance, Forensic & Covert Audio",Batch 4
Electronic sweep,"Surveillance, Forensic & Covert Audio",Batch 4
RF detector,"Surveillance, Forensic & Covert Audio",Batch 4
RF spectrum analyzer,"Surveillance, Forensic & Covert Audio",Batch 4
Broadband detector,"Surveillance, Forensic & Covert Audio",Batch 4
Nonlinear junction detector (NLJD),"Surveillance, Forensic & Covert Audio",Batch 4
Signal detector,"Surveillance, Forensic & Covert Audio",Batch 4
Carrier detection,"Surveillance, Forensic & Covert Audio",Batch 4
RF leakage,"Surveillance, Forensic & Covert Audio",Batch 4
Hidden microphone detection,"Surveillance, Forensic & Covert Audio",Batch 4
Hidden transmitter detection,"Surveillance, Forensic & Covert Audio",Batch 4
Counter-surveillance,"Surveillance, Forensic & Covert Audio",Batch 4
Electronic countermeasures,"Surveillance, Forensic & Covert Audio",Batch 4
Electronic surveillance countermeasures (ESCM),"Surveillance, Forensic & Covert Audio",Batch 4
Parabolic reflector,"Surveillance, Forensic & Covert Audio",Batch 4
Acoustic reflector,"Surveillance, Forensic & Covert Audio",Batch 4
Beamforming array,"Surveillance, Forensic & Covert Audio",Batch 4
Laser Doppler microphone,"Surveillance, Forensic & Covert Audio",Batch 4
Laser vibrometer,"Surveillance, Forensic & Covert Audio",Batch 4
Fiber optic microphone,"Surveillance, Forensic & Covert Audio",Batch 4
MEMS microphone array,"Surveillance, Forensic & Covert Audio",Batch 4
Acoustic camera,"Surveillance, Forensic & Covert Audio",Batch 4
Acoustic imaging,"Surveillance, Forensic & Covert Audio",Batch 4
Acoustic localization,"Surveillance, Forensic & Covert Audio",Batch 4
Sound source localization,"Surveillance, Forensic & Covert Audio",Batch 4
Articulation index,"Surveillance, Forensic & Covert Audio",Batch 4
Technical surveillance,"Surveillance, Forensic & Covert Audio",Batch 4
Technical surveillance counter-measures (TSCM),"Surveillance, Forensic & Covert Audio",Batch 4
Electronic surveillance,"Surveillance, Forensic & Covert Audio",Batch 4
Acoustic surveillance,"Surveillance, Forensic & Covert Audio",Batch 4
Audio forensics,"Surveillance, Forensic & Covert Audio",Batch 4
Forensic acoustics,"Surveillance, Forensic & Covert Audio",Batch 4
Speech intelligence,"Surveillance, Forensic & Covert Audio",Batch 4
Signals intelligence (SIGINT),"Surveillance, Forensic & Covert Audio",Batch 4
Communications intelligence (COMINT),"Surveillance, Forensic & Covert Audio",Batch 4
Acoustic intelligence (ACINT),"Surveillance, Forensic & Covert Audio",Batch 4
Vibroacoustics,Structural Acoustics & Vibration,Batch 4
Aeroacoustics,Aeroacoustics & Flow Noise,Batch 4
Underwater acoustics,Wave Physics & Fields (Science),Batch 4
Physical acoustics,Wave Physics & Fields (Science),Batch 4
Nonlinear acoustics,Nonlinear & Physical Acoustics,Batch 4
Ultrasonics,Wave Physics & Fields (Science),Batch 4
Infrasonics,Wave Physics & Fields (Science),Batch 4
Sonic,Wave Physics & Fields (Science),Batch 4
Audible spectrum,Wave Physics & Fields (Science),Batch 4
Sound field,Wave Physics & Fields (Science),Batch 4
Acoustic field,Wave Physics & Fields (Science),Batch 4
Compression wave,Wave Physics & Fields (Science),Batch 4
Evanescent wave,Wave Physics & Fields (Science),Batch 4
Anti-resonance,Wave Physics & Fields (Science),Batch 4
Sound pressure,Wave Physics & Fields (Science),Batch 4
RMS SPL,Wave Physics & Fields (Science),Batch 4
Characteristic impedance,Wave Physics & Fields (Science),Batch 4
Acoustic intensity,Wave Physics & Fields (Science),Batch 4
Sound energy,Wave Physics & Fields (Science),Batch 4
Specific acoustic impedance,Wave Physics & Fields (Science),Batch 4
Acoustic mobility,Structural Acoustics & Vibration,Batch 4
Acoustic resistance,Wave Physics & Fields (Science),Batch 4
Modal behavior,Wave Physics & Fields (Science),Batch 4
Eigenmode,Wave Physics & Fields (Science),Batch 4
Overtone,Wave Physics & Fields (Science),Batch 4
Mode shape,Wave Physics & Fields (Science),Batch 4
Resonant frequency,Wave Physics & Fields (Science),Batch 4
Natural frequency,Wave Physics & Fields (Science),Batch 4
Quarter-wave resonance,Wave Physics & Fields (Science),Batch 4
Half-wave resonance,Wave Physics & Fields (Science),Batch 4
Spatial hearing,Wave Physics & Fields (Science),Batch 4
Monaural hearing,Wave Physics & Fields (Science),Batch 4
Transduction,Microphone Transduction Principles,Batch 4
Electromechanical transducer,Microphone Transduction Principles,Batch 4
Acoustic transducer,Microphone Transduction Principles,Batch 4
Pressure transducer,Microphone Transduction Principles,Batch 4
Pressure-gradient transducer,Microphone Transduction Principles,Batch 4
Velocity microphone,Microphone Transduction Principles,Batch 4
Ribbon velocity microphone,Microphone Transduction Principles,Batch 4
Condenser capsule,Microphone Transduction Principles,Batch 4
Electret capsule,Microphone Transduction Principles,Batch 4
Ceramic microphone,Microphone Transduction Principles,Batch 4
Membrane,Microphone Transduction Principles,Batch 4
Air gap,Microphone Transduction Principles,Batch 4
Gold sputtering,Microphone Transduction Principles,Batch 4
Dual diaphragm,Microphone Transduction Principles,Batch 4
Single diaphragm,Microphone Transduction Principles,Batch 4
Capsule resonance,Microphone Transduction Principles,Batch 4
Acoustic labyrinth,Microphone Transduction Principles,Batch 4
Equalization port,Microphone Transduction Principles,Batch 4
Rear chamber,Microphone Transduction Principles,Batch 4
Acoustic vent,Microphone Transduction Principles,Batch 4
Open-circuit sensitivity,Microphone Transduction Principles,Batch 4
Free-field response,Microphone Transduction Principles,Batch 4
Diffuse-field response,Microphone Transduction Principles,Batch 4
Pressure response,Microphone Transduction Principles,Batch 4
Acoustic overload point,Microphone Transduction Principles,Batch 4
Electroacoustic driver,Loudspeaker Engineering — General (Science),Batch 4
Dynamic driver,Loudspeaker Engineering — General (Science),Batch 4
Moving-coil driver,Loudspeaker Engineering — General (Science),Batch 4
Ribbon driver,Loudspeaker Engineering — General (Science),Batch 4
Balanced armature,Loudspeaker Engineering — General (Science),Batch 4
Piezoelectric driver,Loudspeaker Engineering — General (Science),Batch 4
Magnetostrictive driver,Loudspeaker Motor & Magnetics,Batch 4
Bending-wave driver,Loudspeaker Engineering — General (Science),Batch 4
Surface exciter,Loudspeaker Engineering — General (Science),Batch 4
Spider,Loudspeaker Suspension & Mechanical,Batch 4
Surround,Loudspeaker Suspension & Mechanical,Batch 4
Dome,"Diaphragm, Cone & Materials",Batch 4
Top plate,Loudspeaker Engineering — General (Science),Batch 4
Magnet gap,Loudspeaker Motor & Magnetics,Batch 4
Ferrite magnet,Loudspeaker Motor & Magnetics,Batch 4
Demodulation ring,Loudspeaker Motor & Magnetics,Batch 4
Acoustic suspension,Loudspeaker Suspension & Mechanical,Batch 4
Front-loaded horn,"Horns, Compression Drivers & Waveguides",Batch 4
Rear-loaded horn,"Horns, Compression Drivers & Waveguides",Batch 4
Isobaric enclosure,Loudspeaker Enclosures & Alignments,Batch 4
Dipole enclosure,Loudspeaker Enclosures & Alignments,Batch 4
Bipole enclosure,Loudspeaker Enclosures & Alignments,Batch 4
Open baffle,Loudspeaker Radiation & Directivity (Science),Batch 4
Polypropylene cone,"Diaphragm, Cone & Materials",Batch 4
Paper cone,"Diaphragm, Cone & Materials",Batch 4
Kevlar cone,"Diaphragm, Cone & Materials",Batch 4
Carbon fiber cone,"Diaphragm, Cone & Materials",Batch 4
Aluminum cone,"Diaphragm, Cone & Materials",Batch 4
Magnesium cone,"Diaphragm, Cone & Materials",Batch 4
Titanium diaphragm,"Diaphragm, Cone & Materials",Batch 4
Beryllium diaphragm,"Diaphragm, Cone & Materials",Batch 4
Diamond diaphragm,"Diaphragm, Cone & Materials",Batch 4
Graphene diaphragm,"Diaphragm, Cone & Materials",Batch 4
Silk dome,"Diaphragm, Cone & Materials",Batch 4
Fabric dome,"Diaphragm, Cone & Materials",Batch 4
Composite cone,"Diaphragm, Cone & Materials",Batch 4
Nomex former,Loudspeaker Engineering — General (Science),Batch 4
Kapton former,Loudspeaker Engineering — General (Science),Batch 4
Magnetic flux,Loudspeaker Motor & Magnetics,Batch 4
Magnetic circuit,Loudspeaker Motor & Magnetics,Batch 4
BL product,Loudspeaker Motor & Magnetics,Batch 4
Motor strength,Loudspeaker Motor & Magnetics,Batch 4
Permeability,Loudspeaker Engineering — General (Science),Batch 4
Eddy current,Loudspeaker Motor & Magnetics,Batch 4
Demagnetization,Loudspeaker Motor & Magnetics,Batch 4
Flux modulation,Loudspeaker Motor & Magnetics,Batch 4
Reactance,DSP & Signal Analysis (Science),Batch 4
Complex impedance,DSP & Signal Analysis (Science),Batch 4
Resonant circuit,DSP & Signal Analysis (Science),Batch 4
Q factor,DSP & Signal Analysis (Science),Batch 4
Sampling theorem,DSP & Signal Analysis (Science),Batch 4
FIR filter,DSP & Signal Analysis (Science),Batch 4
IIR filter,DSP & Signal Analysis (Science),Batch 4
FFT,DSP & Signal Analysis (Science),Batch 4
DFT,DSP & Signal Analysis (Science),Batch 4
Hamming window,DSP & Signal Analysis (Science),Batch 4
Blackman window,DSP & Signal Analysis (Science),Batch 4
Waterfall plot,DSP & Signal Analysis (Science),Batch 4
Cumulative spectral decay,DSP & Signal Analysis (Science),Batch 4
Step response,DSP & Signal Analysis (Science),Batch 4
Distortion spectrum,Distortion & Linearity Measurement,Batch 4
Thermal compression,DSP & Signal Analysis (Science),Batch 4
Excursion distortion,Distortion & Linearity Measurement,Batch 4
Flux modulation distortion,Distortion & Linearity Measurement,Batch 4
Rocking mode,DSP & Signal Analysis (Science),Batch 4
Modal distortion,Distortion & Linearity Measurement,Batch 4
Xmech,DSP & Signal Analysis (Science),Batch 4
Compliance,DSP & Signal Analysis (Science),Batch 4
Suspension stiffness,DSP & Signal Analysis (Science),Batch 4
Moving mass,DSP & Signal Analysis (Science),Batch 4
Mechanical damping,DSP & Signal Analysis (Science),Batch 4
Mechanical resonance,DSP & Signal Analysis (Science),Batch 4
Cms,DSP & Signal Analysis (Science),Batch 4
Mms,DSP & Signal Analysis (Science),Batch 4
Fs,DSP & Signal Analysis (Science),Batch 4
Qms,Electroacoustic Modeling & Circuits,Batch 4
Qes,Electroacoustic Modeling & Circuits,Batch 4
Qts,Electroacoustic Modeling & Circuits,Batch 4
BL,DSP & Signal Analysis (Science),Batch 4
Le,DSP & Signal Analysis (Science),Batch 4
Re,DSP & Signal Analysis (Science),Batch 4
Sd,DSP & Signal Analysis (Science),Batch 4
Xlim,DSP & Signal Analysis (Science),Batch 4
Efficiency bandwidth product,DSP & Signal Analysis (Science),Batch 4
Sensitivity,DSP & Signal Analysis (Science),Batch 4
Reference efficiency,DSP & Signal Analysis (Science),Batch 4
Laser Doppler vibrometer,DSP & Signal Analysis (Science),Batch 4
Vibrometer,DSP & Signal Analysis (Science),Batch 4
Accelerometer,DSP & Signal Analysis (Science),Batch 4
Hydrophone,DSP & Signal Analysis (Science),Batch 4
Geophone,DSP & Signal Analysis (Science),Batch 4
Sound level meter,DSP & Signal Analysis (Science),Batch 4
Precision microphone,DSP & Signal Analysis (Science),Batch 4
Artificial ear,DSP & Signal Analysis (Science),Batch 4
Artificial mouth,DSP & Signal Analysis (Science),Batch 4
Head and torso simulator (HATS),DSP & Signal Analysis (Science),Batch 4
Ultrasonic transducer,DSP & Signal Analysis (Science),Batch 4
Piezoelectric crystal,DSP & Signal Analysis (Science),Batch 4
Acoustic emission,DSP & Signal Analysis (Science),Batch 4
Sonar,DSP & Signal Analysis (Science),Batch 4
Medical ultrasound,DSP & Signal Analysis (Science),Batch 4
Ultrasonic imaging,DSP & Signal Analysis (Science),Batch 4
Time-of-flight,DSP & Signal Analysis (Science),Batch 4
Pulse-echo,DSP & Signal Analysis (Science),Batch 4
Doppler ultrasound,DSP & Signal Analysis (Science),Batch 4
Phased array ultrasound,DSP & Signal Analysis (Science),Batch 4
IEC 60268,DSP & Signal Analysis (Science),Batch 4
IEC 61094,DSP & Signal Analysis (Science),Batch 4
IEC 61672,DSP & Signal Analysis (Science),Batch 4
ANSI S1 series,DSP & Signal Analysis (Science),Batch 4
AES17,DSP & Signal Analysis (Science),Batch 4
AES75,DSP & Signal Analysis (Science),Batch 4
ISO 3740 series,DSP & Signal Analysis (Science),Batch 4
ISO 9613,DSP & Signal Analysis (Science),Batch 4
Acoustic wavelength,Wave Physics & Fields (Science),Batch 4
Acoustic wavenumber,Wave Physics & Fields (Science),Batch 4
Angular wavenumber,Wave Physics & Fields (Science),Batch 4
Wave equation,Wave Physics & Fields (Science),Batch 4
Inhomogeneous wave equation,Wave Physics & Fields (Science),Batch 4
Homogeneous wave equation,Wave Physics & Fields (Science),Batch 4
Helmholtz equation,Wave Physics & Fields (Science),Batch 4
Acoustic velocity potential,Wave Physics & Fields (Science),Batch 4
Scalar potential,Wave Physics & Fields (Science),Batch 4
Instantaneous sound pressure,Wave Physics & Fields (Science),Batch 4
Root-mean-square sound pressure,Wave Physics & Fields (Science),Batch 4
Reference sound pressure,Wave Physics & Fields (Science),Batch 4
Peak particle velocity,Wave Physics & Fields (Science),Batch 4
Acoustic energy density,Wave Physics & Fields (Science),Batch 4
Potential energy density,Wave Physics & Fields (Science),Batch 4
Kinetic energy density,Wave Physics & Fields (Science),Batch 4
Acoustic energy flux,Wave Physics & Fields (Science),Batch 4
Acoustic power density,Wave Physics & Fields (Science),Batch 4
Acoustic momentum,Wave Physics & Fields (Science),Batch 4
Radiation pressure,Wave Physics & Fields (Science),Batch 4
Sound-speed gradient,Wave Physics & Fields (Science),Batch 4
Acoustic refractive index,Wave Physics & Fields (Science),Batch 4
Ray acoustics,Wave Physics & Fields (Science),Batch 4
Geometrical acoustics,Wave Physics & Fields (Science),Batch 4
Wave acoustics,Wave Physics & Fields (Science),Batch 4
Paraxial approximation,Wave Physics & Fields (Science),Batch 4
Far-field approximation,Wave Physics & Fields (Science),Batch 4
Near-field approximation,Wave Physics & Fields (Science),Batch 4
Fraunhofer region,Wave Physics & Fields (Science),Batch 4
Fresnel region,Wave Physics & Fields (Science),Batch 4
Reactive near field,Wave Physics & Fields (Science),Batch 4
Radiating near field,Wave Physics & Fields (Science),Batch 4
Acoustic singularity,Wave Physics & Fields (Science),Batch 4
Acoustic vortex,Aeroacoustics & Flow Noise,Batch 4
Orbital angular momentum of sound,Wave Physics & Fields (Science),Batch 4
Phase singularity,Wave Physics & Fields (Science),Batch 4
Nodal plane,Wave Physics & Fields (Science),Batch 4
Wave impedance,Wave Physics & Fields (Science),Batch 4
Transfer impedance,Wave Physics & Fields (Science),Batch 4
Acoustic impedance mismatch,Wave Physics & Fields (Science),Batch 4
Impedance boundary condition,Wave Physics & Fields (Science),Batch 4
Radiation boundary condition,Wave Physics & Fields (Science),Batch 4
Sommerfeld radiation condition,Wave Physics & Fields (Science),Batch 4
Spherical spreading loss,Sound Propagation & Attenuation,Batch 4
Cylindrical spreading loss,Sound Propagation & Attenuation,Batch 4
Molecular relaxation,Sound Propagation & Attenuation,Batch 4
Oxygen relaxation,Sound Propagation & Attenuation,Batch 4
Nitrogen relaxation,Sound Propagation & Attenuation,Batch 4
Thermoviscous loss,Sound Propagation & Attenuation,Batch 4
Viscous attenuation,Sound Propagation & Attenuation,Batch 4
Thermal attenuation,Sound Propagation & Attenuation,Batch 4
Boundary-layer attenuation,Sound Propagation & Attenuation,Batch 4
Insertion loss,Sound Propagation & Attenuation,Batch 4
Propagation loss,Sound Propagation & Attenuation,Batch 4
Acoustic extinction,Sound Propagation & Attenuation,Batch 4
Acoustic absorption coefficient,Sound Propagation & Attenuation,Batch 4
Energy absorption coefficient,Sound Propagation & Attenuation,Batch 4
Pressure reflection coefficient,Sound Propagation & Attenuation,Batch 4
Intensity reflection coefficient,Sound Propagation & Attenuation,Batch 4
Acoustic transmissivity,Sound Propagation & Attenuation,Batch 4
Acoustic reflectivity,Sound Propagation & Attenuation,Batch 4
Acoustic absorptivity,Sound Propagation & Attenuation,Batch 4
Normal-incidence absorption,Wave Physics & Fields (Science),Batch 4
Random-incidence absorption,Wave Physics & Fields (Science),Batch 4
Grazing incidence,Sound Propagation & Attenuation,Batch 4
Critical angle,Sound Propagation & Attenuation,Batch 4
Total internal reflection,Sound Propagation & Attenuation,Batch 4
Acoustic tunneling,Sound Propagation & Attenuation,Batch 4
Mode conversion,Sound Propagation & Attenuation,Batch 4
Guided-wave propagation,Sound Propagation & Attenuation,Batch 4
Leaky wave,Sound Propagation & Attenuation,Batch 4
Surface acoustic wave,Wave Physics & Fields (Science),Batch 4
Lamb wave,Sound Propagation & Attenuation,Batch 4
Love wave,Sound Propagation & Attenuation,Batch 4
Scholte wave,Sound Propagation & Attenuation,Batch 4
Stoneley wave,Sound Propagation & Attenuation,Batch 4
Rayleigh wave,Sound Propagation & Attenuation,Batch 4
Bulk acoustic wave,Sound Propagation & Attenuation,Batch 4
Shear wave,Sound Propagation & Attenuation,Batch 4
Torsional wave,Structural Acoustics & Vibration,Batch 4
Linear acoustics,Wave Physics & Fields (Science),Batch 4
Weakly nonlinear acoustics,Nonlinear & Physical Acoustics,Batch 4
Finite-amplitude acoustics,Wave Physics & Fields (Science),Batch 4
Nonlinear propagation,Nonlinear & Physical Acoustics,Batch 4
Acoustic nonlinearity parameter,Nonlinear & Physical Acoustics,Batch 4
Parameter of nonlinearity,Nonlinear & Physical Acoustics,Batch 4
B/A parameter,Nonlinear & Physical Acoustics,Batch 4
Wave steepening,Nonlinear & Physical Acoustics,Batch 4
Shock formation,Nonlinear & Physical Acoustics,Batch 4
Acoustic shock,Nonlinear & Physical Acoustics,Batch 4
Sawtooth wave formation,Nonlinear & Physical Acoustics,Batch 4
Harmonic generation,Nonlinear & Physical Acoustics,Batch 4
Subharmonic generation,Nonlinear & Physical Acoustics,Batch 4
Difference-frequency generation,Nonlinear & Physical Acoustics,Batch 4
Sum-frequency generation,Nonlinear & Physical Acoustics,Batch 4
Parametric interaction,Nonlinear & Physical Acoustics,Batch 4
Parametric acoustic array,Nonlinear & Physical Acoustics,Batch 4
Parametric loudspeaker,Nonlinear & Physical Acoustics,Batch 4
Self-demodulation,Wave Physics & Fields (Science),Batch 4
Acoustic rectification,Nonlinear & Physical Acoustics,Batch 4
Nonlinear absorption,Nonlinear & Physical Acoustics,Batch 4
Nonlinear resonance,Nonlinear & Physical Acoustics,Batch 4
Mode coupling,Wave Physics & Fields (Science),Batch 4
Internal resonance,Wave Physics & Fields (Science),Batch 4
Bifurcation,Nonlinear & Physical Acoustics,Batch 4
Acoustic cavitation,Nonlinear & Physical Acoustics,Batch 4
Stable cavitation,Nonlinear & Physical Acoustics,Batch 4
Inertial cavitation,Nonlinear & Physical Acoustics,Batch 4
Cavitation threshold,Nonlinear & Physical Acoustics,Batch 4
Bubble resonance,Nonlinear & Physical Acoustics,Batch 4
Minnaert resonance,Nonlinear & Physical Acoustics,Batch 4
Sonoluminescence,Nonlinear & Physical Acoustics,Batch 4
Acoustic levitation,Nonlinear & Physical Acoustics,Batch 4
Acoustic trapping,Nonlinear & Physical Acoustics,Batch 4
Acoustic tweezers,Nonlinear & Physical Acoustics,Batch 4
Phononic crystal,Nonlinear & Physical Acoustics,Batch 4
Acoustic metamaterial,Nonlinear & Physical Acoustics,Batch 4
Locally resonant metamaterial,Nonlinear & Physical Acoustics,Batch 4
Negative effective mass density,Nonlinear & Physical Acoustics,Batch 4
Negative bulk modulus,Nonlinear & Physical Acoustics,Batch 4
Acoustic cloaking,Nonlinear & Physical Acoustics,Batch 4
Transformation acoustics,Wave Physics & Fields (Science),Batch 4
Topological acoustics,Nonlinear & Physical Acoustics,Batch 4
Acoustic bandgap,Nonlinear & Physical Acoustics,Batch 4
Bragg scattering,Nonlinear & Physical Acoustics,Batch 4
Subwavelength resonator,Nonlinear & Physical Acoustics,Batch 4
Flow-induced noise,Aeroacoustics & Flow Noise,Batch 4
Turbulent boundary-layer noise,Aeroacoustics & Flow Noise,Batch 4
Vortex shedding,Aeroacoustics & Flow Noise,Batch 4
Aeolian tone,Aeroacoustics & Flow Noise,Batch 4
Strouhal number,Aeroacoustics & Flow Noise,Batch 4
Reynolds number,Aeroacoustics & Flow Noise,Batch 4
Mach number,Aeroacoustics & Flow Noise,Batch 4
Convective Mach number,Aeroacoustics & Flow Noise,Batch 4
Lighthill analogy,Aeroacoustics & Flow Noise,Batch 4
Lighthill stress tensor,Aeroacoustics & Flow Noise,Batch 4
Ffowcs Williams–Hawkings equation,Aeroacoustics & Flow Noise,Batch 4
Curle analogy,Aeroacoustics & Flow Noise,Batch 4
Acoustic analogy,Wave Physics & Fields (Science),Batch 4
Quadrupole source,Aeroacoustics & Flow Noise,Batch 4
Dipole source,Aeroacoustics & Flow Noise,Batch 4
Monopole source,Aeroacoustics & Flow Noise,Batch 4
Jet noise,Aeroacoustics & Flow Noise,Batch 4
Mixing noise,Aeroacoustics & Flow Noise,Batch 4
Shock-associated noise,Nonlinear & Physical Acoustics,Batch 4
Broadband shock-associated noise,Nonlinear & Physical Acoustics,Batch 4
Screech tone,Aeroacoustics & Flow Noise,Batch 4
Blade-passing frequency,Aeroacoustics & Flow Noise,Batch 4
Rotor–stator interaction,Aeroacoustics & Flow Noise,Batch 4
Trailing-edge noise,Aeroacoustics & Flow Noise,Batch 4
Leading-edge noise,Aeroacoustics & Flow Noise,Batch 4
Airfoil self-noise,Aeroacoustics & Flow Noise,Batch 4
Cavity tone,Aeroacoustics & Flow Noise,Batch 4
Edge tone,Aeroacoustics & Flow Noise,Batch 4
Flow separation noise,Aeroacoustics & Flow Noise,Batch 4
Turbulence ingestion noise,Wave Physics & Fields (Science),Batch 4
Combustion noise,Aeroacoustics & Flow Noise,Batch 4
