term,topic
Large-signal model,Loudspeaker & Transducer Engineering (Science)
Electro-mechano-acoustic equivalent circuit,Loudspeaker & Transducer Engineering (Science)
Mechanical equivalent circuit,Loudspeaker & Transducer Engineering (Science)
Mobility analogy,Loudspeaker & Transducer Engineering (Science)
Impedance analogy,Loudspeaker & Transducer Engineering (Science)
Electrical quality factor,Loudspeaker & Transducer Engineering (Science)
Mechanical quality factor,Loudspeaker & Transducer Engineering (Science)
Total quality factor,Loudspeaker & Transducer Engineering (Science)
Resonance frequency,Loudspeaker & Transducer Engineering (Science)
Equivalent compliance volume,Loudspeaker & Transducer Engineering (Science)
DC resistance,Loudspeaker & Transducer Engineering (Science)
Mechanical resistance,Loudspeaker & Transducer Engineering (Science)
Diaphragm mass,Loudspeaker & Transducer Engineering (Science)
Mmd,Loudspeaker & Transducer Engineering (Science)
Radiation mass,Loudspeaker & Transducer Engineering (Science)
Acoustic mass loading,Loudspeaker & Transducer Engineering (Science)
EBP,Loudspeaker & Transducer Engineering (Science)
Electrical damping,Loudspeaker & Transducer Engineering (Science)
Acoustic damping,Loudspeaker & Transducer Engineering (Science)
Mass corner,Loudspeaker & Transducer Engineering (Science)
Compliance corner,Loudspeaker & Transducer Engineering (Science)
Impedance peak,Loudspeaker & Transducer Engineering (Science)
Motional impedance,Loudspeaker & Transducer Engineering (Science)
Blocked impedance,Loudspeaker & Transducer Engineering (Science)
Motional branch,Loudspeaker & Transducer Engineering (Science)
Electrical branch,Loudspeaker & Transducer Engineering (Science)
Large-signal identification,Loudspeaker & Transducer Engineering (Science)
Nonlinear parameter identification,Loudspeaker & Transducer Engineering (Science)
Dynamic parameter measurement,Loudspeaker & Transducer Engineering (Science)
Quasi-static measurement,Loudspeaker & Transducer Engineering (Science)
Dynamic voice-coil position,Loudspeaker & Transducer Engineering (Science)
Instantaneous displacement,Loudspeaker & Transducer Engineering (Science)
Voice-coil current,Loudspeaker & Transducer Engineering (Science)
Voice-coil temperature,Loudspeaker & Transducer Engineering (Science)
Thermal state variable,Loudspeaker & Transducer Engineering (Science)
Nonlinear state-space model,Loudspeaker & Transducer Engineering (Science)
Lumped nonlinear model,Loudspeaker & Transducer Engineering (Science)
Parameter trajectory,Loudspeaker & Transducer Engineering (Science)
Working-point shift,Loudspeaker & Transducer Engineering (Science)
Dynamic DC displacement,Loudspeaker & Transducer Engineering (Science)
Rectified displacement,Loudspeaker & Transducer Engineering (Science)
Force-factor modulation,Loudspeaker & Transducer Engineering (Science)
Compliance modulation,Loudspeaker & Transducer Engineering (Science)
Inductance modulation,Loudspeaker & Transducer Engineering (Science)
Doppler modulation,Loudspeaker & Transducer Engineering (Science)
Amplitude modulation distortion,Loudspeaker & Transducer Engineering (Science)
Multitone distortion,Loudspeaker & Transducer Engineering (Science)
Rub-and-buzz distortion,Loudspeaker & Transducer Engineering (Science)
Loose-particle noise,Loudspeaker & Transducer Engineering (Science)
Air-leak noise,Loudspeaker & Transducer Engineering (Science)
Suspension noise,Loudspeaker & Transducer Engineering (Science)
Rocking-mode distortion,Loudspeaker & Transducer Engineering (Science)
Motor instability,Loudspeaker & Transducer Engineering (Science)
Thermal modulation,Loudspeaker & Transducer Engineering (Science)
Dynamic compression,Loudspeaker & Transducer Engineering (Science)
Instantaneous compression,Loudspeaker & Transducer Engineering (Science)
Sensitivity compression,Loudspeaker & Transducer Engineering (Science)
Thermal time constant,Loudspeaker & Transducer Engineering (Science)
Fast thermal time constant,Loudspeaker & Transducer Engineering (Science)
Slow thermal time constant,Loudspeaker & Transducer Engineering (Science)
Voice-coil thermal resistance,Loudspeaker & Transducer Engineering (Science)
Magnet thermal resistance,Loudspeaker & Transducer Engineering (Science)
Thermal capacitance,Loudspeaker & Transducer Engineering (Science)
Thermal runaway,Loudspeaker & Transducer Engineering (Science)
Balloon plot,Loudspeaker & Transducer Engineering (Science)
Polar map,Loudspeaker & Transducer Engineering (Science)
Directivity sonogram,Loudspeaker & Transducer Engineering (Science)
Directivity spectrogram,Loudspeaker & Transducer Engineering (Science)
Early-reflections curve,Loudspeaker & Transducer Engineering (Science)
Sound-power response,Loudspeaker & Transducer Engineering (Science)
Horizontal off-axis response,Loudspeaker & Transducer Engineering (Science)
Vertical off-axis response,Loudspeaker & Transducer Engineering (Science)
Constant directivity,Loudspeaker & Transducer Engineering (Science)
Directivity narrowing,Loudspeaker & Transducer Engineering (Science)
Directivity discontinuity,Loudspeaker & Transducer Engineering (Science)
Directivity mismatch,Loudspeaker & Transducer Engineering (Science)
Crossover lobing,Loudspeaker & Transducer Engineering (Science)
Vertical lobing,Loudspeaker & Transducer Engineering (Science)
Apparent acoustic center,Loudspeaker & Transducer Engineering (Science)
Phase center,Loudspeaker & Transducer Engineering (Science)
Virtual source,Loudspeaker & Transducer Engineering (Science)
Effective source size,Loudspeaker & Transducer Engineering (Science)
Piston directivity,Loudspeaker & Transducer Engineering (Science)
Baffle diffraction,Loudspeaker & Transducer Engineering (Science)
Edge diffraction,Loudspeaker & Transducer Engineering (Science)
Floor bounce,Loudspeaker & Transducer Engineering (Science)
Ceiling bounce,Loudspeaker & Transducer Engineering (Science)
SBIR,Loudspeaker & Transducer Engineering (Science)
Dipole null,Loudspeaker & Transducer Engineering (Science)
Dipole peak,Loudspeaker & Transducer Engineering (Science)
Dipole cancellation,Loudspeaker & Transducer Engineering (Science)
Cardioid radiation,Loudspeaker & Transducer Engineering (Science)
Gradient loudspeaker,Loudspeaker & Transducer Engineering (Science)
Acoustic resistance enclosure,Loudspeaker & Transducer Engineering (Science)
End-fire subwoofer array,Loudspeaker & Transducer Engineering (Science)
Broadside subwoofer array,Loudspeaker & Transducer Engineering (Science)
Gradient subwoofer array,Loudspeaker & Transducer Engineering (Science)
Steered array,Loudspeaker & Transducer Engineering (Science)
Shaded array,Loudspeaker & Transducer Engineering (Science)
Constant-beamwidth transducer,Loudspeaker & Transducer Engineering (Science)
Anechoic measurement,"Electroacoustics, DSP & Measurement Science"
Half-space measurement,"Electroacoustics, DSP & Measurement Science"
Full-space measurement,"Electroacoustics, DSP & Measurement Science"
Hemispherical measurement,"Electroacoustics, DSP & Measurement Science"
Far-field measurement,"Electroacoustics, DSP & Measurement Science"
Near-field–far-field splice,"Electroacoustics, DSP & Measurement Science"
Near-field scanner,"Electroacoustics, DSP & Measurement Science"
Klippel near-field scanner,"Electroacoustics, DSP & Measurement Science"
Holographic measurement,"Electroacoustics, DSP & Measurement Science"
Acoustic holography,"Electroacoustics, DSP & Measurement Science"
Near-field acoustic holography,"Electroacoustics, DSP & Measurement Science"
Boundary-element method,"Electroacoustics, DSP & Measurement Science"
Finite-element method,"Electroacoustics, DSP & Measurement Science"
Finite-difference time-domain,"Electroacoustics, DSP & Measurement Science"
FDTD acoustics,"Electroacoustics, DSP & Measurement Science"
Boundary-condition model,"Electroacoustics, DSP & Measurement Science"
Reciprocity measurement,"Electroacoustics, DSP & Measurement Science"
Dual-channel measurement,"Electroacoustics, DSP & Measurement Science"
Reference-channel measurement,"Electroacoustics, DSP & Measurement Science"
Logarithmic sine sweep,"Electroacoustics, DSP & Measurement Science"
Maximum-length sequence,"Electroacoustics, DSP & Measurement Science"
Time-delay spectrometry,"Electroacoustics, DSP & Measurement Science"
Time-windowed response,"Electroacoustics, DSP & Measurement Science"
Gated measurement,"Electroacoustics, DSP & Measurement Science"
Reflection-free window,"Electroacoustics, DSP & Measurement Science"
Time resolution,"Electroacoustics, DSP & Measurement Science"
Window leakage,"Electroacoustics, DSP & Measurement Science"
Transfer-function estimator,"Electroacoustics, DSP & Measurement Science"
H1 estimator,"Electroacoustics, DSP & Measurement Science"
H2 estimator,"Electroacoustics, DSP & Measurement Science"
Hv estimator,"Electroacoustics, DSP & Measurement Science"
Complex frequency response,"Electroacoustics, DSP & Measurement Science"
Minimum-phase response,"Electroacoustics, DSP & Measurement Science"
Excess-phase response,"Electroacoustics, DSP & Measurement Science"
Unwrapped phase,"Electroacoustics, DSP & Measurement Science"
Acoustic delay,"Electroacoustics, DSP & Measurement Science"
Excess group delay,"Electroacoustics, DSP & Measurement Science"
Harmonic distortion profile,"Electroacoustics, DSP & Measurement Science"
Second-harmonic distortion,"Electroacoustics, DSP & Measurement Science"
Third-harmonic distortion,"Electroacoustics, DSP & Measurement Science"
Higher-order harmonic distortion,"Electroacoustics, DSP & Measurement Science"
Difference-frequency distortion,"Electroacoustics, DSP & Measurement Science"
Modulation distortion,"Electroacoustics, DSP & Measurement Science"
Dynamic intermodulation distortion,"Electroacoustics, DSP & Measurement Science"
Transient intermodulation distortion,"Electroacoustics, DSP & Measurement Science"
Perceptual rub and buzz,"Electroacoustics, DSP & Measurement Science"
Crest-factor degradation,"Electroacoustics, DSP & Measurement Science"
Noncoherent distortion,"Electroacoustics, DSP & Measurement Science"
Coherent distortion,"Electroacoustics, DSP & Measurement Science"
Residual distortion,"Electroacoustics, DSP & Measurement Science"
Distortion residue,"Electroacoustics, DSP & Measurement Science"
Nonlinear impulse response,"Electroacoustics, DSP & Measurement Science"
Higher-order impulse response,"Electroacoustics, DSP & Measurement Science"
Volterra series,"Electroacoustics, DSP & Measurement Science"
Hammerstein model,"Electroacoustics, DSP & Measurement Science"
Wiener model,"Electroacoustics, DSP & Measurement Science"
Wiener–Hammerstein model,"Electroacoustics, DSP & Measurement Science"
Farina harmonic separation,"Electroacoustics, DSP & Measurement Science"
Compression threshold,"Electroacoustics, DSP & Measurement Science"
Linearity threshold,"Electroacoustics, DSP & Measurement Science"
Maximum linear SPL,"Electroacoustics, DSP & Measurement Science"
Maximum usable SPL,"Electroacoustics, DSP & Measurement Science"
Multitone coherence,"Electroacoustics, DSP & Measurement Science"
Spectral contamination,"Electroacoustics, DSP & Measurement Science"
Spurious-free dynamic range,"Electroacoustics, DSP & Measurement Science"
Maximum linear output,"Electroacoustics, DSP & Measurement Science"
Maximum acoustic output,"Electroacoustics, DSP & Measurement Science"
Maximum continuous SPL,"Electroacoustics, DSP & Measurement Science"
Maximum peak SPL,"Electroacoustics, DSP & Measurement Science"
Short-term maximum SPL,"Electroacoustics, DSP & Measurement Science"
Long-term maximum SPL,"Electroacoustics, DSP & Measurement Science"
Burst SPL,"Electroacoustics, DSP & Measurement Science"
Peak-to-average ratio,"Electroacoustics, DSP & Measurement Science"
Compression-limited output,"Electroacoustics, DSP & Measurement Science"
Distortion-limited output,"Electroacoustics, DSP & Measurement Science"
Excursion-limited output,"Electroacoustics, DSP & Measurement Science"
Voltage-limited output,"Electroacoustics, DSP & Measurement Science"
Current-limited output,"Electroacoustics, DSP & Measurement Science"
Continuous power handling,"Electroacoustics, DSP & Measurement Science"
Peak power,"Electroacoustics, DSP & Measurement Science"
Short-term power,"Electroacoustics, DSP & Measurement Science"
Long-term power,"Electroacoustics, DSP & Measurement Science"
Power-test noise,"Electroacoustics, DSP & Measurement Science"
Pink-noise power test,"Electroacoustics, DSP & Measurement Science"
Shaped-noise test,"Electroacoustics, DSP & Measurement Science"
IEC noise,"Electroacoustics, DSP & Measurement Science"
M-Noise,"Electroacoustics, DSP & Measurement Science"
Maximum linear sound level,"Electroacoustics, DSP & Measurement Science"
Acoustic compression,"Electroacoustics, DSP & Measurement Science"
Magnitude linearity,"Electroacoustics, DSP & Measurement Science"
Coherence degradation,"Electroacoustics, DSP & Measurement Science"
Test-signal spectrum,"Electroacoustics, DSP & Measurement Science"
Spectral crest factor,"Electroacoustics, DSP & Measurement Science"
Integrating sound-level meter,"Electroacoustics, DSP & Measurement Science"
Integrating-averaging sound-level meter,"Electroacoustics, DSP & Measurement Science"
Time-weighting sound-level meter,"Electroacoustics, DSP & Measurement Science"
Exponential time weighting,"Electroacoustics, DSP & Measurement Science"
Fast time weighting,"Electroacoustics, DSP & Measurement Science"
Slow time weighting,"Electroacoustics, DSP & Measurement Science"
Impulse time weighting,"Electroacoustics, DSP & Measurement Science"
Sound exposure,"Electroacoustics, DSP & Measurement Science"
Sound exposure level,"Electroacoustics, DSP & Measurement Science"
Time-average sound level,"Electroacoustics, DSP & Measurement Science"
Equivalent continuous sound level,"Electroacoustics, DSP & Measurement Science"
LZeq,"Electroacoustics, DSP & Measurement Science"
Maximum sound level,"Electroacoustics, DSP & Measurement Science"
Minimum sound level,"Electroacoustics, DSP & Measurement Science"
LAFmax,"Electroacoustics, DSP & Measurement Science"
LASmax,"Electroacoustics, DSP & Measurement Science"
LCFmax,"Electroacoustics, DSP & Measurement Science"
Peak C-weighted level,"Electroacoustics, DSP & Measurement Science"
Statistical sound level,"Electroacoustics, DSP & Measurement Science"
Exceedance level,"Electroacoustics, DSP & Measurement Science"
Percentile level,"Electroacoustics, DSP & Measurement Science"
Day–night average sound level,"Electroacoustics, DSP & Measurement Science"
Community-noise equivalent level,"Electroacoustics, DSP & Measurement Science"
Noise dose,"Electroacoustics, DSP & Measurement Science"
Exchange rate,"Electroacoustics, DSP & Measurement Science"
Criterion level,"Electroacoustics, DSP & Measurement Science"
Threshold level,"Electroacoustics, DSP & Measurement Science"
Octave-band level,"Electroacoustics, DSP & Measurement Science"
Fractional-octave-band level,"Electroacoustics, DSP & Measurement Science"
One-third-octave analysis,"Electroacoustics, DSP & Measurement Science"
Tonality,"Electroacoustics, DSP & Measurement Science"
Prominent discrete tone,"Electroacoustics, DSP & Measurement Science"
Impulsiveness,"Electroacoustics, DSP & Measurement Science"
Event sound level,"Electroacoustics, DSP & Measurement Science"
Maximum-event level,"Electroacoustics, DSP & Measurement Science"
Background sound level,"Electroacoustics, DSP & Measurement Science"
Residual sound level,"Electroacoustics, DSP & Measurement Science"
Specific sound level,"Electroacoustics, DSP & Measurement Science"
Rating level,"Electroacoustics, DSP & Measurement Science"
Active intensity,"Electroacoustics, DSP & Measurement Science"
Reactive intensity,"Electroacoustics, DSP & Measurement Science"
Instantaneous intensity,"Electroacoustics, DSP & Measurement Science"
Time-averaged intensity,"Electroacoustics, DSP & Measurement Science"
Intensity vector,"Electroacoustics, DSP & Measurement Science"
Intensity probe,"Electroacoustics, DSP & Measurement Science"
Pressure–pressure intensity probe,"Electroacoustics, DSP & Measurement Science"
Pressure–velocity intensity probe,"Electroacoustics, DSP & Measurement Science"
Phase mismatch,"Electroacoustics, DSP & Measurement Science"
Residual intensity,"Electroacoustics, DSP & Measurement Science"
Pressure–intensity index,"Electroacoustics, DSP & Measurement Science"
Field reactivity,"Electroacoustics, DSP & Measurement Science"
Dynamic capability,"Electroacoustics, DSP & Measurement Science"
Spacer distance,"Electroacoustics, DSP & Measurement Science"
Probe orientation,"Electroacoustics, DSP & Measurement Science"
Surface scanning,"Electroacoustics, DSP & Measurement Science"
Discrete-point measurement,"Electroacoustics, DSP & Measurement Science"
Measurement surface,"Electroacoustics, DSP & Measurement Science"
Enveloping surface,"Electroacoustics, DSP & Measurement Science"
Acoustic-power determination,"Electroacoustics, DSP & Measurement Science"
Sound-power source,"Electroacoustics, DSP & Measurement Science"
Reference sound source,"Electroacoustics, DSP & Measurement Science"
Comparison method,"Electroacoustics, DSP & Measurement Science"
Reverberation-room method,"Electroacoustics, DSP & Measurement Science"
Anechoic-room method,"Electroacoustics, DSP & Measurement Science"
Intensity method,"Electroacoustics, DSP & Measurement Science"
Engineering-grade measurement,"Electroacoustics, DSP & Measurement Science"
Precision-grade measurement,"Electroacoustics, DSP & Measurement Science"
Survey-grade measurement,"Electroacoustics, DSP & Measurement Science"
Directivity correction,"Electroacoustics, DSP & Measurement Science"
Environmental correction,"Electroacoustics, DSP & Measurement Science"
Background-noise correction,"Electroacoustics, DSP & Measurement Science"
Near-field correction,"Electroacoustics, DSP & Measurement Science"
Modal region,Acoustics & Wave Physics (Science)
Transition region,Acoustics & Wave Physics (Science)
Statistical region,Acoustics & Wave Physics (Science)
Modal spacing,Acoustics & Wave Physics (Science)
Mean absorption coefficient,Acoustics & Wave Physics (Science)
Sabine absorption,Acoustics & Wave Physics (Science)
Eyring absorption,Acoustics & Wave Physics (Science)
Reverberation radius,Acoustics & Wave Physics (Science)
Non-diffuse sound field,Acoustics & Wave Physics (Science)
Sound-field diffuseness,Acoustics & Wave Physics (Science)
Spatial variance,Acoustics & Wave Physics (Science)
Energy decay curve,Acoustics & Wave Physics (Science)
Schroeder integration,Acoustics & Wave Physics (Science)
Reverse-time integration,Acoustics & Wave Physics (Science)
Interrupted-noise method,Acoustics & Wave Physics (Science)
Integrated impulse-response method,Acoustics & Wave Physics (Science)
T10,Acoustics & Wave Physics (Science)
Center time,Acoustics & Wave Physics (Science)
Ts,Acoustics & Wave Physics (Science)
Definition,Acoustics & Wave Physics (Science)
C50,Acoustics & Wave Physics (Science)
C80,Acoustics & Wave Physics (Science)
Strength,Acoustics & Wave Physics (Science)
Bass ratio,Acoustics & Wave Physics (Science)
Brilliance,Acoustics & Wave Physics (Science)
Lateral-energy fraction,Acoustics & Wave Physics (Science)
Late lateral sound level,Acoustics & Wave Physics (Science)
Interaural cross-correlation coefficient,Acoustics & Wave Physics (Science)
Binaural quality index,Acoustics & Wave Physics (Science)
Stage support,Acoustics & Wave Physics (Science)
STearly,Acoustics & Wave Physics (Science)
STlate,Acoustics & Wave Physics (Science)
Echo criterion,Acoustics & Wave Physics (Science)
Speech clarity,Acoustics & Wave Physics (Science)
Musical clarity,Acoustics & Wave Physics (Science)
Spatial impression,Acoustics & Wave Physics (Science)
Finite-element analysis,Acoustics & Wave Physics (Science)
Boundary-element analysis,Acoustics & Wave Physics (Science)
Finite-difference method,Acoustics & Wave Physics (Science)
Discontinuous Galerkin method,Acoustics & Wave Physics (Science)
Spectral-element method,Acoustics & Wave Physics (Science)
Wave-based method,Acoustics & Wave Physics (Science)
Ray tracing,Acoustics & Wave Physics (Science)
Image-source method,Acoustics & Wave Physics (Science)
Beam tracing,Acoustics & Wave Physics (Science)
Phonon tracing,Acoustics & Wave Physics (Science)
Geometrical-acoustics simulation,Acoustics & Wave Physics (Science)
Hybrid acoustic simulation,Acoustics & Wave Physics (Science)
Statistical energy analysis,Acoustics & Wave Physics (Science)
SEA,Acoustics & Wave Physics (Science)
Energy finite-element analysis,Acoustics & Wave Physics (Science)
Transfer-matrix method,Acoustics & Wave Physics (Science)
Transmission-line matrix,Acoustics & Wave Physics (Science)
Equivalent-fluid model,Acoustics & Wave Physics (Science)
Johnson–Champoux–Allard model,Acoustics & Wave Physics (Science)
Biot theory,Acoustics & Wave Physics (Science)
Poroelastic model,Acoustics & Wave Physics (Science)
Perfectly matched layer,Acoustics & Wave Physics (Science)
Absorbing boundary condition,Acoustics & Wave Physics (Science)
Mesh convergence,Acoustics & Wave Physics (Science)
Element order,Acoustics & Wave Physics (Science)
Numerical dispersion,Acoustics & Wave Physics (Science)
Numerical dissipation,Acoustics & Wave Physics (Science)
Courant condition,Acoustics & Wave Physics (Science)
Spatial discretization,Acoustics & Wave Physics (Science)
Temporal discretization,Acoustics & Wave Physics (Science)
Model-order reduction,Acoustics & Wave Physics (Science)
Reduced-order model,Acoustics & Wave Physics (Science)
Lumped-element approximation,Acoustics & Wave Physics (Science)
Distributed-parameter model,Acoustics & Wave Physics (Science)
Coupled-field simulation,Acoustics & Wave Physics (Science)
Multiphysics simulation,Acoustics & Wave Physics (Science)
Fibrous absorber,Acoustics & Wave Physics (Science)
Open-cell foam,Acoustics & Wave Physics (Science)
Closed-cell foam,Acoustics & Wave Physics (Science)
Flow resistivity,Acoustics & Wave Physics (Science)
Tortuosity,Acoustics & Wave Physics (Science)
Porosity,Acoustics & Wave Physics (Science)
Viscous characteristic length,Acoustics & Wave Physics (Science)
Thermal characteristic length,Acoustics & Wave Physics (Science)
Bulk density,Acoustics & Wave Physics (Science)
Complex bulk modulus,Acoustics & Wave Physics (Science)
Complex density,Acoustics & Wave Physics (Science)
Propagation constant,Acoustics & Wave Physics (Science)
Normal-incidence impedance,Acoustics & Wave Physics (Science)
Surface impedance,Acoustics & Wave Physics (Science)
Slotted-panel absorber,Acoustics & Wave Physics (Science)
Distributed Helmholtz resonator,Acoustics & Wave Physics (Science)
Quarter-wave absorber,Acoustics & Wave Physics (Science)
Locally reacting absorber,Acoustics & Wave Physics (Science)
Nonlocally reacting absorber,Acoustics & Wave Physics (Science)
Acoustic black hole,Acoustics & Wave Physics (Science)
Sonic crystal,Acoustics & Wave Physics (Science)
Phononic bandgap,Acoustics & Wave Physics (Science)
Coiled-space resonator,Acoustics & Wave Physics (Science)
Space-coiling metamaterial,Acoustics & Wave Physics (Science)
Labyrinthine metamaterial,Acoustics & Wave Physics (Science)
Acoustic metasurface,Acoustics & Wave Physics (Science)
Gradient-index acoustic material,Acoustics & Wave Physics (Science)
Acoustic impedance matching layer,Acoustics & Wave Physics (Science)
Anechoic coating,Acoustics & Wave Physics (Science)
Constrained-layer damping material,Acoustics & Wave Physics (Science)
Piezoelectric element,Ultrasonics & Underwater Acoustics
Piezoelectric stack,Ultrasonics & Underwater Acoustics
Langevin transducer,Ultrasonics & Underwater Acoustics
Tonpilz transducer,Ultrasonics & Underwater Acoustics
Flextensional transducer,Ultrasonics & Underwater Acoustics
Cymbal transducer,Ultrasonics & Underwater Acoustics
Capacitive micromachined ultrasonic transducer,Ultrasonics & Underwater Acoustics
CMUT,Ultrasonics & Underwater Acoustics
Piezoelectric micromachined ultrasonic transducer,Ultrasonics & Underwater Acoustics
PMUT,Ultrasonics & Underwater Acoustics
Ultrasonic horn,Ultrasonics & Underwater Acoustics
Sonotrode,Ultrasonics & Underwater Acoustics
Acoustic matching layer,Ultrasonics & Underwater Acoustics
Backing layer,Ultrasonics & Underwater Acoustics
Quarter-wave matching layer,Ultrasonics & Underwater Acoustics
Electromechanical coupling coefficient,Ultrasonics & Underwater Acoustics
Thickness mode,Ultrasonics & Underwater Acoustics
Lateral mode,Ultrasonics & Underwater Acoustics
Shear mode,Ultrasonics & Underwater Acoustics
Pulse-echo mode,Ultrasonics & Underwater Acoustics
Through-transmission mode,Ultrasonics & Underwater Acoustics
Time-of-flight diffraction,Ultrasonics & Underwater Acoustics
Ultrasonic attenuation,Ultrasonics & Underwater Acoustics
Acoustic-emission sensor,Ultrasonics & Underwater Acoustics
Guided-wave inspection,Ultrasonics & Underwater Acoustics
Phased-array ultrasonics,Ultrasonics & Underwater Acoustics
Electronic focusing,Ultrasonics & Underwater Acoustics
Focal law,Ultrasonics & Underwater Acoustics
Near-field length,Ultrasonics & Underwater Acoustics
Dead zone,Ultrasonics & Underwater Acoustics
Axial resolution,Ultrasonics & Underwater Acoustics
Lateral resolution,Ultrasonics & Underwater Acoustics
Doppler shift,Ultrasonics & Underwater Acoustics
Continuous-wave Doppler,Ultrasonics & Underwater Acoustics
Pulsed-wave Doppler,Ultrasonics & Underwater Acoustics
Acoustic radiation-force impulse,Ultrasonics & Underwater Acoustics
Shear-wave elastography,Ultrasonics & Underwater Acoustics
Vector hydrophone,Ultrasonics & Underwater Acoustics
Pressure hydrophone,Ultrasonics & Underwater Acoustics
Particle-velocity hydrophone,Ultrasonics & Underwater Acoustics
Sonobuoy,Ultrasonics & Underwater Acoustics
Towed array,Ultrasonics & Underwater Acoustics
Hull-mounted array,Ultrasonics & Underwater Acoustics
Flank array,Ultrasonics & Underwater Acoustics
Planar sonar array,Ultrasonics & Underwater Acoustics
Spherical sonar array,Ultrasonics & Underwater Acoustics
Beamformed sonar,Ultrasonics & Underwater Acoustics
Active sonar,Ultrasonics & Underwater Acoustics
Passive sonar,Ultrasonics & Underwater Acoustics
Multibeam sonar,Ultrasonics & Underwater Acoustics
Side-scan sonar,Ultrasonics & Underwater Acoustics
Synthetic-aperture sonar,Ultrasonics & Underwater Acoustics
Forward-looking sonar,Ultrasonics & Underwater Acoustics
Echo sounder,Ultrasonics & Underwater Acoustics
Pinger,Ultrasonics & Underwater Acoustics
Transponder,Ultrasonics & Underwater Acoustics
Underwater acoustic modem,Ultrasonics & Underwater Acoustics
Sound-speed profile,Ultrasonics & Underwater Acoustics
Thermocline,Ultrasonics & Underwater Acoustics
SOFAR channel,Ultrasonics & Underwater Acoustics
Deep sound channel,Ultrasonics & Underwater Acoustics
Surface duct,Ultrasonics & Underwater Acoustics
Bottom bounce,Ultrasonics & Underwater Acoustics
Convergence zone,Ultrasonics & Underwater Acoustics
Multipath propagation,Ultrasonics & Underwater Acoustics
Reverberation level,Ultrasonics & Underwater Acoustics
Target strength,Ultrasonics & Underwater Acoustics
Source level,Ultrasonics & Underwater Acoustics
Detection threshold,Ultrasonics & Underwater Acoustics
Ambient-noise level,Ultrasonics & Underwater Acoustics
Cavitation noise,Ultrasonics & Underwater Acoustics
Array gain,Ultrasonics & Underwater Acoustics
Directivity gain,Ultrasonics & Underwater Acoustics
Processing gain,Ultrasonics & Underwater Acoustics
Matched-field processing,Ultrasonics & Underwater Acoustics
Photoacoustic effect,Microphone Engineering & Transduction (Science)
Optoacoustic effect,Microphone Engineering & Transduction (Science)
Photoacoustic spectroscopy,Microphone Engineering & Transduction (Science)
Photoacoustic cell,Microphone Engineering & Transduction (Science)
Resonant photoacoustic cell,Microphone Engineering & Transduction (Science)
Nonresonant photoacoustic cell,Microphone Engineering & Transduction (Science)
Laser Doppler vibrometry,Microphone Engineering & Transduction (Science)
Scanning laser Doppler vibrometry,Microphone Engineering & Transduction (Science)
Heterodyne interferometry,Microphone Engineering & Transduction (Science)
Homodyne interferometry,Microphone Engineering & Transduction (Science)
Optical microphone,Microphone Engineering & Transduction (Science)
Fabry–Pérot microphone,Microphone Engineering & Transduction (Science)
Mach–Zehnder interferometer,Microphone Engineering & Transduction (Science)
Michelson interferometer,Microphone Engineering & Transduction (Science)
Optical phase modulation,Microphone Engineering & Transduction (Science)
Optical intensity modulation,Microphone Engineering & Transduction (Science)
Speckle interferometry,Microphone Engineering & Transduction (Science)
Remote vibrometry,Microphone Engineering & Transduction (Science)
Surface-velocity measurement,Microphone Engineering & Transduction (Science)
Noncontact vibration measurement,Microphone Engineering & Transduction (Science)
Photothermal excitation,Microphone Engineering & Transduction (Science)
Photoacoustic imaging,Microphone Engineering & Transduction (Science)
Optoacoustic tomography,Microphone Engineering & Transduction (Science)
Laser ultrasonics,Microphone Engineering & Transduction (Science)
Interferometric displacement sensitivity,Microphone Engineering & Transduction (Science)
Auditory filter,Psychoacoustics & Hearing Science
Equivalent rectangular bandwidth,Psychoacoustics & Hearing Science
ERB,Psychoacoustics & Hearing Science
Critical-band rate,Psychoacoustics & Hearing Science
Mel scale,Psychoacoustics & Hearing Science
Auditory excitation pattern,Psychoacoustics & Hearing Science
Specific loudness,Psychoacoustics & Hearing Science
Loudness level,Psychoacoustics & Hearing Science
Sone,Psychoacoustics & Hearing Science
Partial loudness,Psychoacoustics & Hearing Science
Binaural loudness,Psychoacoustics & Hearing Science
Loudness summation,Psychoacoustics & Hearing Science
Spectral loudness summation,Psychoacoustics & Hearing Science
Auditory compression,Psychoacoustics & Hearing Science
Cochlear compression,Psychoacoustics & Hearing Science
Simultaneous masking,Psychoacoustics & Hearing Science
Forward masking,Psychoacoustics & Hearing Science
Backward masking,Psychoacoustics & Hearing Science
Informational masking,Psychoacoustics & Hearing Science
Energetic masking,Psychoacoustics & Hearing Science
Masking release,Psychoacoustics & Hearing Science
Comodulation masking release,Psychoacoustics & Hearing Science
Equalization-cancellation model,Psychoacoustics & Hearing Science
Pitch salience,Psychoacoustics & Hearing Science
Residue pitch,Psychoacoustics & Hearing Science
Spectral pitch,Psychoacoustics & Hearing Science
Temporal pitch,Psychoacoustics & Hearing Science
Roughness,Psychoacoustics & Hearing Science
Fluctuation strength,Psychoacoustics & Hearing Science
Sensory pleasantness,Psychoacoustics & Hearing Science
Annoyance,Psychoacoustics & Hearing Science
Stream segregation,Psychoacoustics & Hearing Science
Auditory object,Psychoacoustics & Hearing Science
Common-fate grouping,Psychoacoustics & Hearing Science
