topic,term,status,current_topics_if_exists
Voice & Vocal Perception,Voice Identity,NEW,
Voice & Vocal Perception,Voice Production,NEW,
Voice & Vocal Perception,Voice Quality,NEW,
Voice & Vocal Perception,Whistle Register,NEW,
[ADD] Assisted Listening Systems (gs17),Accessibility,EXISTS,Assisted Listening Systems
[ADD] Assisted Listening Systems (gs17),Accessibility Audit,NEW,
[ADD] Assisted Listening Systems (gs17),Accessibility Documentation,NEW,
[ADD] Assisted Listening Systems (gs17),Accessibility Maintenance,NEW,
[ADD] Assisted Listening Systems (gs17),Accessibility Monitoring,NEW,
[ADD] Assisted Listening Systems (gs17),Accessibility Program,NEW,
[ADD] Assisted Listening Systems (gs17),Accessibility Signage,NEW,
[ADD] Assisted Listening Systems (gs17),Accessibility Standards,NEW,
[ADD] Assisted Listening Systems (gs17),Accessibility Verification,NEW,
[ADD] Assisted Listening Systems (gs17),Accessible Communication,NEW,
[ADD] Assisted Listening Systems (gs17),ADA Compliance,EXISTS,Assisted Listening Systems
[ADD] Assisted Listening Systems (gs17),Assembly Occupancy,NEW,
[ADD] Assisted Listening Systems (gs17),Assistive Listening,NEW,
[ADD] Assisted Listening Systems (gs17),Assistive Listening Coverage,NEW,
[ADD] Assisted Listening Systems (gs17),Assistive Listening Device (ALD),NEW,
[ADD] Assisted Listening Systems (gs17),Assistive Listening Feed,NEW,
[ADD] Assisted Listening Systems (gs17),Assistive Listening Performance Standard,NEW,
[ADD] Assisted Listening Systems (gs17),Assistive Listening System (ALS),EXISTS,"Assisted Listening Systems, Audio System Design"
[ADD] Assisted Listening Systems (gs17),Audio Description Receiver,NEW,
[ADD] Assisted Listening Systems (gs17),Automatic Speech Recognition (ASR),NEW,
[ADD] Assisted Listening Systems (gs17),Battery Management,EXISTS,Assisted Listening Systems
[ADD] Assisted Listening Systems (gs17),Bone Conduction Headphones,NEW,
[ADD] Assisted Listening Systems (gs17),Bone-Anchored Hearing System,NEW,
[ADD] Assisted Listening Systems (gs17),Caption Accuracy,NEW,
[ADD] Assisted Listening Systems (gs17),Caption Latency,NEW,
[ADD] Assisted Listening Systems (gs17),Caption Synchronization,NEW,
[ADD] Assisted Listening Systems (gs17),CART (Communication Access Realtime Translation),NEW,
[ADD] Assisted Listening Systems (gs17),Cinema Accessibility,NEW,
[ADD] Assisted Listening Systems (gs17),Classroom Accessibility,NEW,
[ADD] Assisted Listening Systems (gs17),Closed Captioning,EXISTS,Assisted Listening Systems
[ADD] Assisted Listening Systems (gs17),Cochlear Implant,NEW,
[ADD] Assisted Listening Systems (gs17),Cochlear Implant Audio Streaming,NEW,
[ADD] Assisted Listening Systems (gs17),Conference Accessibility,NEW,
[ADD] Assisted Listening Systems (gs17),Descriptive Audio,NEW,
[ADD] Assisted Listening Systems (gs17),Dialogue Priority Mix,NEW,
[ADD] Assisted Listening Systems (gs17),Digital RF Assistive Listening,NEW,
[ADD] Assisted Listening Systems (gs17),Direct Hearing Aid Streaming,NEW,
[ADD] Assisted Listening Systems (gs17),Effective Communication,NEW,
[ADD] Assisted Listening Systems (gs17),Emergency Communication Accessibility,NEW,
[ADD] Assisted Listening Systems (gs17),FM Assistive Listening System,NEW,
[ADD] Assisted Listening Systems (gs17),Hearing Aid,NEW,
[ADD] Assisted Listening Systems (gs17),Hearing Aid Compatibility,NEW,
[ADD] Assisted Listening Systems (gs17),Hearing Assistance Mix,NEW,
[ADD] Assisted Listening Systems (gs17),Hearing Assistance Request,NEW,
[ADD] Assisted Listening Systems (gs17),Hearing Assistance Symbol,NEW,
[ADD] Assisted Listening Systems (gs17),Hearing Loop,EXISTS,Assisted Listening Systems
[ADD] Assisted Listening Systems (gs17),Inclusive Audio,NEW,
[ADD] Assisted Listening Systems (gs17),Inclusive System Design,NEW,
[ADD] Assisted Listening Systems (gs17),Induction Loop System,NEW,
[ADD] Assisted Listening Systems (gs17),Infrared Assistive Listening System,NEW,
[ADD] Assisted Listening Systems (gs17),Interpreter Feed,NEW,
[ADD] Assisted Listening Systems (gs17),Language Distribution System,NEW,
[ADD] Assisted Listening Systems (gs17),Live Captioning,NEW,
[ADD] Assisted Listening Systems (gs17),Loop Driver (Loop Amplifier),EXISTS,Assisted Listening Systems
[ADD] Assisted Listening Systems (gs17),Loop Field Strength,NEW,
[ADD] Assisted Listening Systems (gs17),Loop Overspill Control,NEW,
[ADD] Assisted Listening Systems (gs17),Loop Spill,NEW,
[ADD] Assisted Listening Systems (gs17),Multilingual Audio,NEW,
[ADD] Assisted Listening Systems (gs17),Museum Accessibility,NEW,
[ADD] Assisted Listening Systems (gs17),Neck Loop,EXISTS,Assisted Listening Systems
[ADD] Assisted Listening Systems (gs17),Open Captioning,NEW,
[ADD] Assisted Listening Systems (gs17),Personal Receiver,EXISTS,Assisted Listening Systems
[ADD] Assisted Listening Systems (gs17),Public Accommodation,NEW,
[ADD] Assisted Listening Systems (gs17),Receiver Checkout Procedure,NEW,
[ADD] Assisted Listening Systems (gs17),Receiver Distribution System,NEW,
[ADD] Assisted Listening Systems (gs17),Receiver Inventory,NEW,
[ADD] Assisted Listening Systems (gs17),Receiver Sanitization,NEW,
[ADD] Assisted Listening Systems (gs17),Reduced Listener Fatigue,NEW,
[ADD] Assisted Listening Systems (gs17),Simultaneous Interpretation System,NEW,
[ADD] Assisted Listening Systems (gs17),Speech Optimization for Accessibility,NEW,
[ADD] Assisted Listening Systems (gs17),Staff Accessibility Training,NEW,
[ADD] Assisted Listening Systems (gs17),Telecoil (T-Coil),EXISTS,Assisted Listening Systems
[ADD] Assisted Listening Systems (gs17),Transportation Accessibility,NEW,
[ADD] Assisted Listening Systems (gs17),Universal Design,EXISTS,Assisted Listening Systems
[ADD] Assisted Listening Systems (gs17),Worship Accessibility,NEW,
[ADD] HiFi Consumer Audio (gs18),Accessibility Audio Features,NEW,
[ADD] HiFi Consumer Audio (gs18),Active Noise Cancellation (ANC),EXISTS,Consumer Audio Systems
[ADD] HiFi Consumer Audio (gs18),Audio Latency,EXISTS,Troubleshooting
[ADD] HiFi Consumer Audio (gs18),Auracast Broadcast Audio,NEW,
[ADD] HiFi Consumer Audio (gs18),Auto Calibration,NEW,
[ADD] HiFi Consumer Audio (gs18),Automotive Listening,NEW,
[ADD] HiFi Consumer Audio (gs18),Background Music,EXISTS,Analog Live Sound
[ADD] HiFi Consumer Audio (gs18),Bass Enhancement,NEW,
[ADD] HiFi Consumer Audio (gs18),Bluetooth Audio,NEW,
[ADD] HiFi Consumer Audio (gs18),Bluetooth Codec,NEW,
[ADD] HiFi Consumer Audio (gs18),Bluetooth LE Audio,NEW,
[ADD] HiFi Consumer Audio (gs18),Bookshelf Speaker,EXISTS,Consumer Audio Systems
[ADD] HiFi Consumer Audio (gs18),Casual Listening,NEW,
[ADD] HiFi Consumer Audio (gs18),Closed-Back Headphones,EXISTS,Consumer Audio Systems
[ADD] HiFi Consumer Audio (gs18),Consumer Audio,NEW,
[ADD] HiFi Consumer Audio (gs18),Consumer Playback Translation,NEW,
[ADD] HiFi Consumer Audio (gs18),Desktop Computer Audio,NEW,
[ADD] HiFi Consumer Audio (gs18),Dialogue Enhancement,NEW,
[ADD] HiFi Consumer Audio (gs18),Dynamic Range Compression,NEW,
[ADD] HiFi Consumer Audio (gs18),Earbuds,EXISTS,Consumer Audio Systems
[ADD] HiFi Consumer Audio (gs18),Farfield Consumer Listening,NEW,
[ADD] HiFi Consumer Audio (gs18),Floorstanding Speaker,EXISTS,Consumer Audio Systems
[ADD] HiFi Consumer Audio (gs18),Focused Listening,NEW,
[ADD] HiFi Consumer Audio (gs18),Foreground Music,EXISTS,Commercial Audio Systems
[ADD] HiFi Consumer Audio (gs18),Headphones,NEW,
[ADD] HiFi Consumer Audio (gs18),Hearing Aid Streaming,NEW,
[ADD] HiFi Consumer Audio (gs18),Hearing Health Notifications,NEW,
[ADD] HiFi Consumer Audio (gs18),High-Resolution Audio,NEW,
[ADD] HiFi Consumer Audio (gs18),Home Theater System,NEW,
[ADD] HiFi Consumer Audio (gs18),Household Ambient Noise,NEW,
[ADD] HiFi Consumer Audio (gs18),In-Ear Headphones,NEW,
[ADD] HiFi Consumer Audio (gs18),Internet Radio,NEW,
[ADD] HiFi Consumer Audio (gs18),Laptop Audio,NEW,
[ADD] HiFi Consumer Audio (gs18),Lip-Sync Delay,NEW,
[ADD] HiFi Consumer Audio (gs18),Live Streaming,NEW,
[ADD] HiFi Consumer Audio (gs18),Lossless Audio Compression,NEW,
[ADD] HiFi Consumer Audio (gs18),Lossy Audio Compression,NEW,
[ADD] HiFi Consumer Audio (gs18),Loudness Normalization,EXISTS,"Mastering, Podcasting & Broadcast Audio"
[ADD] HiFi Consumer Audio (gs18),Mobile Listening,NEW,
[ADD] HiFi Consumer Audio (gs18),Multi-Room Audio,NEW,
[ADD] HiFi Consumer Audio (gs18),Music Streaming Service,NEW,
[ADD] HiFi Consumer Audio (gs18),Nearfield Consumer Listening,NEW,
[ADD] HiFi Consumer Audio (gs18),Night Mode,NEW,
[ADD] HiFi Consumer Audio (gs18),Noise-Isolating Headphones,NEW,
[ADD] HiFi Consumer Audio (gs18),On-Demand Streaming,NEW,
[ADD] HiFi Consumer Audio (gs18),Open-Back Headphones,EXISTS,Consumer Audio Systems
[ADD] HiFi Consumer Audio (gs18),Passive Speaker,EXISTS,Consumer Audio Systems
[ADD] HiFi Consumer Audio (gs18),Personalized Spatial Audio,NEW,
[ADD] HiFi Consumer Audio (gs18),Playback Device,NEW,
[ADD] HiFi Consumer Audio (gs18),Playback Optimization,NEW,
[ADD] HiFi Consumer Audio (gs18),Playback System,EXISTS,Film & Game Audio
[ADD] HiFi Consumer Audio (gs18),Playback Volume Preference,NEW,
[ADD] HiFi Consumer Audio (gs18),Podcast Playback,NEW,
[ADD] HiFi Consumer Audio (gs18),Portable Audio Player,NEW,
[ADD] HiFi Consumer Audio (gs18),Powered Speaker,EXISTS,Consumer Audio Systems
[ADD] HiFi Consumer Audio (gs18),Replay Gain,NEW,
[ADD] HiFi Consumer Audio (gs18),Room Correction,EXISTS,"Audio Measurement & Optimization, Consumer Audio Systems, Equalization (EQ)"
[ADD] HiFi Consumer Audio (gs18),Satellite Speaker,EXISTS,Consumer Audio Systems
[ADD] HiFi Consumer Audio (gs18),Smart Speaker,EXISTS,Consumer Audio Systems
[ADD] HiFi Consumer Audio (gs18),Smartphone Audio,NEW,
[ADD] HiFi Consumer Audio (gs18),Soundbar,EXISTS,"Amps & Loudspeakers, Consumer Audio Systems, Loudspeaker System Deployment"
[ADD] HiFi Consumer Audio (gs18),Stereo Pair,EXISTS,"Band Recording and Production, Recording Arts"
[ADD] HiFi Consumer Audio (gs18),Stereo System,NEW,
[ADD] HiFi Consumer Audio (gs18),Streaming Audio,NEW,
[ADD] HiFi Consumer Audio (gs18),Subwoofer,EXISTS,"Amps & Loudspeakers, Audio System Design, Commercial Audio Systems, Film & Game Audio, Loudspeaker System Deployment"
[ADD] HiFi Consumer Audio (gs18),Tablet Audio,NEW,
[ADD] HiFi Consumer Audio (gs18),Television Audio,NEW,
[ADD] HiFi Consumer Audio (gs18),Transparency Mode,NEW,
[ADD] HiFi Consumer Audio (gs18),Voice Assistant,NEW,
[ADD] HiFi Consumer Audio (gs18),Whole-House Audio,NEW,
[ADD] HiFi Consumer Audio (gs18),Wireless Headphones,NEW,
[ADD] HiFi Consumer Audio (gs18),Wireless Range,NEW,
[ADD] HiFi Consumer Audio (gs18),Zone Audio,NEW,
