term,final_topic,source_batch
Static-pressure coefficient,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Temperature coefficient,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Humidity coefficient,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Environmental sensitivity,Microphone Transduction & Types,Batch 4
Diaphragm resonance,Microphone Transduction & Types,Batch 4
Cavity resonance,Microphone Transduction & Types,Batch 4
Back-volume compliance,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Vent resistance,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Acoustic leakage,Microphone Transduction & Types,Batch 4
Protection-grid correction,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Grid diffraction,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Incidence correction,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Pressure-field correction,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Diffuse-field correction,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Random-incidence correction,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Laboratory standard microphone,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Working standard microphone,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Transfer standard microphone,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Sound-level-meter microphone,Microphone Transduction & Types,Batch 4
Half-inch measurement microphone,Microphone Transduction & Types,Batch 4
Quarter-inch measurement microphone,Microphone Transduction & Types,Batch 4
One-inch measurement microphone,Microphone Transduction & Types,Batch 4
Free-field microphone,Microphone Transduction & Types,Batch 4
Diffuse-field microphone,Microphone Transduction & Types,Batch 4
Low-frequency microphone,Microphone Transduction & Types,Batch 4
High-level microphone,Microphone Transduction & Types,Batch 4
Infrasonic microphone,Microphone Transduction & Types,Batch 4
Ultrasonic microphone,Microphone Transduction & Types,Batch 4
Complex sensitivity,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Pressure sensitivity,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Loaded sensitivity,Microphone Transduction & Types,Batch 4
Sensitivity level,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Phase sensitivity,Microphone Transduction & Types,Batch 4
Magnitude sensitivity,Microphone Transduction & Types,Batch 4
Reciprocity calibration,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Primary calibration,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Secondary calibration,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Comparison calibration,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Substitution calibration,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Simultaneous comparison,Microphone Transduction & Types,Batch 4
Electrostatic actuator calibration,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Pistonphone calibration,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Sound-calibrator verification,Microphone Transduction & Types,Batch 4
Insert-voltage technique,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Microphone reciprocity,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Reciprocity parameter,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Coupler reciprocity,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Free-field reciprocity,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Pressure reciprocity,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Calibration uncertainty,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Expanded uncertainty,Microphone Transduction & Types,Batch 4
Traceability chain,Microphone Transduction & Types,Batch 4
Reference environmental conditions,Microphone Transduction & Types,Batch 4
Calibration drift,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Equivalent acoustic noise,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Brownian noise,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Thermal noise,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Johnson–Nyquist noise,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Shot noise,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Flicker noise,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
1/f noise,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Dielectric noise,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Preamplifier voltage noise,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Preamplifier current noise,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Noise spectral density,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Voltage-noise density,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Current-noise density,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Acoustic noise floor,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Integrated noise,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
A-weighted self-noise,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Z-weighted self-noise,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Noise-equivalent pressure,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Minimum detectable pressure,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Minimum detectable signal,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Electrical clipping point,Microphone Transduction & Types,Batch 4
Total dynamic range,Microphone Transduction & Types,Batch 4
Inherent dynamic range,Microphone Transduction & Types,Batch 4
Maximum undistorted output,Microphone Transduction & Types,Batch 4
Source impedance,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Capacitive loading,Microphone Transduction & Types,Batch 4
Microphone preamplifier,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Junction field-effect transistor,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Bootstrapped input,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Constant-current powering,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Integrated Electronics Piezo-Electric,Microphone Transduction & Types,Batch 4
Integrated Circuit Piezoelectric,Microphone Transduction & Types,Batch 4
IEPE sensor,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Constant-current line drive,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Phantom powering,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Tonader powering,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Digital microphone interface,Microphone Transduction & Types,Batch 4
Pulse-density modulation microphone,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
I2S microphone,Microphone Transduction & Types,Batch 4
Microelectromechanical microphone,Microphone Transduction & Types,Batch 4
MEMS diaphragm,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
MEMS backplate,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Capacitive MEMS microphone,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Piezoelectric MEMS microphone,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Optical MEMS microphone,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Surface micromachining,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Bulk micromachining,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Deep reactive-ion etching,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Sacrificial layer,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Silicon-on-insulator,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Wafer-level packaging,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Acoustic port,Microphone Transduction & Types,Batch 4
Top-port microphone,Microphone Transduction & Types,Batch 4
Bottom-port microphone,Microphone Transduction & Types,Batch 4
Package cavity,Microphone Transduction & Types,Batch 4
Package leakage,Microphone Transduction & Types,Batch 4
MEMS ASIC,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Application-specific integrated circuit,Microphone Transduction & Types,Batch 4
Charge amplifier,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Sigma-delta modulator,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Pulse-density modulation,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Digital decimation,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Sensitivity tolerance,Microphone Transduction & Types,Batch 4
Part-to-part matching,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Phase matching,Microphone Transduction & Types,Batch 4
Array matching,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Radio-frequency immunity,Microphone Transduction & Types,Batch 4
Acoustic-overload recovery,Microphone Transduction & Types,Batch 4
Pop-noise suppression,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Wake-on-sound,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Always-on microphone,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Ultrasonic-band response,Microphone Transduction & Types,Batch 4
Dust ingress,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Particle ingress protection,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Hydrophobic acoustic membrane,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Acoustic mesh,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Waterproof acoustic vent,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Pressure-event robustness,Microphone Transduction & Types,Batch 4
Directivity pattern,Microphone Transduction & Types,Batch 4
Angular response,Microphone Transduction & Types,Batch 4
Azimuth response,Microphone Transduction & Types,Batch 4
Elevation response,Microphone Transduction & Types,Batch 4
Three-dimensional directivity,Microphone Transduction & Types,Batch 4
Front-to-back ratio,Microphone Transduction & Types,Batch 4
Front-to-random ratio,Microphone Transduction & Types,Batch 4
Null depth,Microphone Transduction & Types,Batch 4
Null angle,Microphone Transduction & Types,Batch 4
Acceptance angle,Microphone Transduction & Types,Batch 4
Half-power angle,Microphone Transduction & Types,Batch 4
Main lobe,Microphone Transduction & Types,Batch 4
Side lobe,Microphone Transduction & Types,Batch 4
Rear lobe,Microphone Transduction & Types,Batch 4
Grating lobe,Microphone Transduction & Types,Batch 4
Spatial aliasing,Microphone Transduction & Types,Batch 4
Beam squint,Microphone Transduction & Types,Batch 4
Frequency-invariant beamforming,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Pattern consistency,Microphone Transduction & Types,Batch 4
Polar-pattern invariance,Microphone Transduction & Types,Batch 4
Polar narrowing,Microphone Transduction & Types,Batch 4
Superdirectivity,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Directivity order,Microphone Transduction & Types,Batch 4
Spherical harmonic order,Microphone Transduction & Types,Batch 4
Legendre polynomial,Microphone Transduction & Types,Batch 4
Cardioid family,Microphone Transduction & Types,Batch 4
Bidirectional response,Microphone Transduction & Types,Batch 4
Figure-eight response,Microphone Transduction & Types,Batch 4
Shotgun interference tube,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Interference-tube slot,Microphone Transduction & Types,Batch 4
Line-gradient microphone,Microphone Transduction & Types,Batch 4
Differential array,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Filter-and-sum beamformer,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Minimum-variance distortionless response,Microphone Transduction & Types,Batch 4
MVDR beamformer,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Capon beamformer,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Frost beamformer,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Linearly constrained minimum-variance beamformer,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Adaptive beamformer,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Fixed beamformer,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Broadband beamformer,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Narrowband beamformer,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Frequency-domain beamforming,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Time-domain beamforming,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Subband beamforming,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Differential beamforming,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Robust beamforming,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Blind beamforming,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Neural beamforming,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Steering vector,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Array aperture,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Effective aperture,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Element spacing,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Spatial covariance matrix,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Cross-spectral matrix,Microphone Transduction & Types,Batch 4
Coherence matrix,Microphone Transduction & Types,Batch 4
Diagonal loading,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Spatial whitening,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Beamformer weight,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Complex weighting,Microphone Transduction & Types,Batch 4
Phase shading,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Amplitude shading,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Tapering function,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Dolph–Chebyshev weighting,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Delay estimation,Microphone Transduction & Types,Batch 4
Time difference of arrival,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Phase-transform weighting,Microphone Transduction & Types,Batch 4
GCC-PHAT,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Direction of arrival,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Source localization,Microphone Transduction & Types,Batch 4
Multiple signal classification,Microphone Transduction & Types,Batch 4
MUSIC algorithm,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
ESPRIT algorithm,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Electrodynamic motor,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Moving-coil motor,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Moving-magnet motor,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Underhung voice coil,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Overhung voice coil,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Equal-hung voice coil,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Short-coil motor,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Long-coil motor,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Differential-drive motor,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Dual-gap motor,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Push-pull motor,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Symmetric magnetic circuit,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Asymmetric magnetic circuit,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Magnetic return path,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Pole vent,"Loudspeaker Enclosures, Horns & Radiation",Batch 4
Backplate vent,"Loudspeaker Enclosures, Horns & Radiation",Batch 4
Under-spider vent,"Loudspeaker Enclosures, Horns & Radiation",Batch 4
Air-gap flux density,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Flux density distribution,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Force factor,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Position-dependent force factor,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
BL(x),"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Current-dependent force factor,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
BL(i),"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Flux stabilization,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Faraday ring,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Eddy-current brake,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Voice-coil inductance,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Position-dependent inductance,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Le(x),"Loudspeaker Behavior, Large-Signal & Concepts",Batch 4
Current-dependent inductance,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Le(i),"Loudspeaker Behavior, Large-Signal & Concepts",Batch 4
Semi-inductance,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Reluctance force,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Magnetic saturation,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Hysteresis distortion,"Loudspeaker Behavior, Large-Signal & Concepts",Batch 4
Motor asymmetry,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Force-factor asymmetry,"Loudspeaker Behavior, Large-Signal & Concepts",Batch 4
Inductance asymmetry,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Rest-position offset,"Loudspeaker Behavior, Large-Signal & Concepts",Batch 4
Mechanical compliance,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Kms,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Position-dependent stiffness,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Kms(x),"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Compliance nonlinearity,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Progressive suspension,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Regressive suspension,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Spider linearity,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Surround linearity,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Suspension symmetry,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Suspension creep,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Viscoelastic creep,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Stress relaxation,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Hysteretic damping,"Loudspeaker Behavior, Large-Signal & Concepts",Batch 4
Mechanical hysteresis,"Loudspeaker Behavior, Large-Signal & Concepts",Batch 4
Suspension aging,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Break-in effect,"Loudspeaker Behavior, Large-Signal & Concepts",Batch 4
Fatigue life,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Mechanical fatigue,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Buckling,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Rocking instability,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Voice-coil rubbing,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Bottoming,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Mechanical overtravel,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Maximum linear excursion,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Peak displacement,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Peak-to-peak excursion,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Displacement limit,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Damage limit,"Loudspeaker Behavior, Large-Signal & Concepts",Batch 4
Suspension-limited excursion,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Motor-limited excursion,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Thermal-limited output,"Loudspeaker Behavior, Large-Signal & Concepts",Batch 4
Displacement-limited output,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Air-noise-limited output,"Loudspeaker Behavior, Large-Signal & Concepts",Batch 4
Diaphragm piston region,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Piston band,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Piston diameter,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Effective radiating diameter,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Effective radiating area,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Breakup frequency,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Partial vibration,"Loudspeaker Behavior, Large-Signal & Concepts",Batch 4
Distributed-mode behavior,"Loudspeaker Behavior, Large-Signal & Concepts",Batch 4
Modal diaphragm,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Bending-wave radiator,"Loudspeaker Behavior, Large-Signal & Concepts",Batch 4
Flexural radiator,"Loudspeaker Behavior, Large-Signal & Concepts",Batch 4
Ring radiator,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Annular diaphragm,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Inverted dome,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Balanced dome,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Compression diaphragm,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Tangential surround,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Radial mode,"Loudspeaker Behavior, Large-Signal & Concepts",Batch 4
Circumferential mode,"Loudspeaker Behavior, Large-Signal & Concepts",Batch 4
Nodal circle,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Nodal diameter,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Bell mode,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Oil-canning mode,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Diaphragm rocking,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Constrained-layer damping,"Loudspeaker Behavior, Large-Signal & Concepts",Batch 4
Lossy coating,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Cone treatment,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Diaphragm anisotropy,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Orthotropic diaphragm,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Young's modulus,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Specific modulus,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Tensile strength,"Loudspeaker Behavior, Large-Signal & Concepts",Batch 4
Internal damping,"Loudspeaker Behavior, Large-Signal & Concepts",Batch 4
Loss tangent,"Loudspeaker Behavior, Large-Signal & Concepts",Batch 4
Poisson's ratio,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Areal mass,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Bending stiffness,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Flexural rigidity,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Sandwich composite,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Honeycomb core,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Rohacell core,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Vapor-deposited diaphragm,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Diamond-like carbon coating,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Ceramic-metal composite,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Compression ratio,"Loudspeaker Enclosures, Horns & Radiation",Batch 4
Compression chamber,"Loudspeaker Enclosures, Horns & Radiation",Batch 4
Annular phase plug,"Loudspeaker Enclosures, Horns & Radiation",Batch 4
Radial phase plug,"Loudspeaker Enclosures, Horns & Radiation",Batch 4
Circumferential phase plug,"Loudspeaker Enclosures, Horns & Radiation",Batch 4
Coherent wavefront,"Loudspeaker Behavior, Large-Signal & Concepts",Batch 4
Exit aperture,"Loudspeaker Behavior, Large-Signal & Concepts",Batch 4
Throat aperture,"Loudspeaker Enclosures, Horns & Radiation",Batch 4
Throat impedance,"Loudspeaker Enclosures, Horns & Radiation",Batch 4
Throat reactance,"Loudspeaker Enclosures, Horns & Radiation",Batch 4
Throat resistance,"Loudspeaker Enclosures, Horns & Radiation",Batch 4
Throat distortion,"Loudspeaker Enclosures, Horns & Radiation",Batch 4
Horn throat,"Loudspeaker Enclosures, Horns & Radiation",Batch 4
Horn mouth,"Loudspeaker Enclosures, Horns & Radiation",Batch 4
Mouth circumference,"Loudspeaker Enclosures, Horns & Radiation",Batch 4
Mouth termination,"Loudspeaker Enclosures, Horns & Radiation",Batch 4
Mouth reflection,"Loudspeaker Enclosures, Horns & Radiation",Batch 4
Horn cutoff frequency,"Loudspeaker Enclosures, Horns & Radiation",Batch 4
Acoustic cutoff,"Loudspeaker Behavior, Large-Signal & Concepts",Batch 4
Flare constant,"Loudspeaker Enclosures, Horns & Radiation",Batch 4
Flare rate,"Loudspeaker Enclosures, Horns & Radiation",Batch 4
Exponential horn,"Loudspeaker Enclosures, Horns & Radiation",Batch 4
Conical horn,"Loudspeaker Enclosures, Horns & Radiation",Batch 4
Hyperbolic horn,"Loudspeaker Enclosures, Horns & Radiation",Batch 4
Hyperbolic-exponential horn,"Loudspeaker Enclosures, Horns & Radiation",Batch 4
Tractrix horn,"Loudspeaker Enclosures, Horns & Radiation",Batch 4
Oblate spheroidal waveguide,"Loudspeaker Enclosures, Horns & Radiation",Batch 4
Bi-radial horn,"Loudspeaker Enclosures, Horns & Radiation",Batch 4
Multicellular horn,"Loudspeaker Enclosures, Horns & Radiation",Batch 4
Diffraction horn,"Loudspeaker Enclosures, Horns & Radiation",Batch 4
Mantaray horn,"Loudspeaker Enclosures, Horns & Radiation",Batch 4
Acoustic lens,"Loudspeaker Enclosures, Horns & Radiation",Batch 4
Waveguide loading,"Loudspeaker Enclosures, Horns & Radiation",Batch 4
Wavefront curvature,"Loudspeaker Behavior, Large-Signal & Concepts",Batch 4
Pattern flip,"Loudspeaker Behavior, Large-Signal & Concepts",Batch 4
Pattern collapse,"Loudspeaker Behavior, Large-Signal & Concepts",Batch 4
Coverage balloon,"Loudspeaker Enclosures, Horns & Radiation",Batch 4
Higher-order horn mode,"Loudspeaker Enclosures, Horns & Radiation",Batch 4
Mouth diffraction,"Loudspeaker Enclosures, Horns & Radiation",Batch 4
Throat reflection,"Loudspeaker Enclosures, Horns & Radiation",Batch 4
Horn honk,"Loudspeaker Enclosures, Horns & Radiation",Batch 4
Air nonlinearity,"Loudspeaker Behavior, Large-Signal & Concepts",Batch 4
Compression nonlinearity,"Loudspeaker Behavior, Large-Signal & Concepts",Batch 4
Acoustic compliance of enclosure,"Loudspeaker Enclosures, Horns & Radiation",Batch 4
Enclosure compliance,"Loudspeaker Enclosures, Horns & Radiation",Batch 4
Box compliance,"Loudspeaker Enclosures, Horns & Radiation",Batch 4
Enclosed-air stiffness,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Box loss,"Loudspeaker Enclosures, Horns & Radiation",Batch 4
Leakage loss,"Loudspeaker Behavior, Large-Signal & Concepts",Batch 4
Qa,"Loudspeaker Behavior, Large-Signal & Concepts",Batch 4
Ql,"Loudspeaker Behavior, Large-Signal & Concepts",Batch 4
Qp,"Loudspeaker Behavior, Large-Signal & Concepts",Batch 4
Total enclosure Q,"Loudspeaker Enclosures, Horns & Radiation",Batch 4
System resonance,"Loudspeaker Behavior, Large-Signal & Concepts",Batch 4
Closed-box resonance,"Loudspeaker Enclosures, Horns & Radiation",Batch 4
Fc,"Loudspeaker Behavior, Large-Signal & Concepts",Batch 4
Closed-box Q,"Loudspeaker Enclosures, Horns & Radiation",Batch 4
Qtc,"Loudspeaker Enclosures, Horns & Radiation",Batch 4
Compliance ratio,"Loudspeaker Motor, Suspension & Diaphragm",Batch 4
Alpha ratio,"Loudspeaker Behavior, Large-Signal & Concepts",Batch 4
Butterworth alignment,"Loudspeaker Enclosures, Horns & Radiation",Batch 4
Bessel alignment,"Loudspeaker Enclosures, Horns & Radiation",Batch 4
Chebyshev alignment,"Loudspeaker Enclosures, Horns & Radiation",Batch 4
