term,landing_topic,status,source_batch
Mechanical resonance,Signal Analysis & Test Equipment,EXISTING,Batch 4
Cms,Signal Analysis & Test Equipment,EXISTING,Batch 4
Mms,Signal Analysis & Test Equipment,EXISTING,Batch 4
Fs,Signal Analysis & Test Equipment,EXISTING,Batch 4
Qms,Signal Analysis & Test Equipment,EXISTING,Batch 4
Qes,Signal Analysis & Test Equipment,EXISTING,Batch 4
Qts,Signal Analysis & Test Equipment,EXISTING,Batch 4
BL,Signal Analysis & Test Equipment,EXISTING,Batch 4
Le,Signal Analysis & Test Equipment,EXISTING,Batch 4
Re,Signal Analysis & Test Equipment,EXISTING,Batch 4
Sd,Signal Analysis & Test Equipment,EXISTING,Batch 4
Xlim,Signal Analysis & Test Equipment,EXISTING,Batch 4
Efficiency bandwidth product,Signal Analysis & Test Equipment,EXISTING,Batch 4
Sensitivity,Signal Analysis & Test Equipment,EXISTING,Batch 4
Reference efficiency,Signal Analysis & Test Equipment,EXISTING,Batch 4
Laser Doppler vibrometer,Signal Analysis & Test Equipment,EXISTING,Batch 4
Vibrometer,Signal Analysis & Test Equipment,EXISTING,Batch 4
Accelerometer,Signal Analysis & Test Equipment,EXISTING,Batch 4
Hydrophone,Signal Analysis & Test Equipment,EXISTING,Batch 4
Geophone,Signal Analysis & Test Equipment,EXISTING,Batch 4
Sound level meter,Signal Analysis & Test Equipment,EXISTING,Batch 4
Precision microphone,Signal Analysis & Test Equipment,EXISTING,Batch 4
Artificial ear,Signal Analysis & Test Equipment,EXISTING,Batch 4
Artificial mouth,Signal Analysis & Test Equipment,EXISTING,Batch 4
Head and torso simulator (HATS),Signal Analysis & Test Equipment,EXISTING,Batch 4
Ultrasonic transducer,Signal Analysis & Test Equipment,EXISTING,Batch 4
Piezoelectric crystal,Signal Analysis & Test Equipment,EXISTING,Batch 4
Acoustic emission,Signal Analysis & Test Equipment,EXISTING,Batch 4
Sonar,Signal Analysis & Test Equipment,EXISTING,Batch 4
Medical ultrasound,Signal Analysis & Test Equipment,EXISTING,Batch 4
Ultrasonic imaging,Signal Analysis & Test Equipment,EXISTING,Batch 4
Time-of-flight,Signal Analysis & Test Equipment,EXISTING,Batch 4
Pulse-echo,Signal Analysis & Test Equipment,EXISTING,Batch 4
Doppler ultrasound,Signal Analysis & Test Equipment,EXISTING,Batch 4
Phased array ultrasound,Signal Analysis & Test Equipment,EXISTING,Batch 4
IEC 60268,Signal Analysis & Test Equipment,EXISTING,Batch 4
IEC 61094,Signal Analysis & Test Equipment,EXISTING,Batch 4
IEC 61672,Signal Analysis & Test Equipment,EXISTING,Batch 4
ANSI S1 series,Signal Analysis & Test Equipment,EXISTING,Batch 4
AES17,Signal Analysis & Test Equipment,EXISTING,Batch 4
AES75,Signal Analysis & Test Equipment,EXISTING,Batch 4
ISO 3740 series,Signal Analysis & Test Equipment,EXISTING,Batch 4
ISO 9613,Signal Analysis & Test Equipment,EXISTING,Batch 4
Acoustic wavelength,Sound & Acoustics,EXISTING,Batch 4
Acoustic wavenumber,Sound & Acoustics,EXISTING,Batch 4
Angular wavenumber,Sound & Acoustics,EXISTING,Batch 4
Wave equation,Sound & Acoustics,EXISTING,Batch 4
Inhomogeneous wave equation,Sound & Acoustics,EXISTING,Batch 4
Homogeneous wave equation,Sound & Acoustics,EXISTING,Batch 4
Helmholtz equation,Sound & Acoustics,EXISTING,Batch 4
Acoustic velocity potential,Sound & Acoustics,EXISTING,Batch 4
Scalar potential,Sound & Acoustics,EXISTING,Batch 4
Instantaneous sound pressure,Sound & Acoustics,EXISTING,Batch 4
Root-mean-square sound pressure,Sound & Acoustics,EXISTING,Batch 4
Reference sound pressure,Sound & Acoustics,EXISTING,Batch 4
Peak particle velocity,Sound & Acoustics,EXISTING,Batch 4
Acoustic energy density,Sound & Acoustics,EXISTING,Batch 4
Potential energy density,Sound & Acoustics,EXISTING,Batch 4
Kinetic energy density,Sound & Acoustics,EXISTING,Batch 4
Acoustic energy flux,Sound & Acoustics,EXISTING,Batch 4
Acoustic power density,Sound & Acoustics,EXISTING,Batch 4
Acoustic momentum,Sound & Acoustics,EXISTING,Batch 4
Radiation pressure,Sound & Acoustics,EXISTING,Batch 4
Sound-speed gradient,Sound & Acoustics,EXISTING,Batch 4
Acoustic refractive index,Sound & Acoustics,EXISTING,Batch 4
Ray acoustics,Sound & Acoustics,EXISTING,Batch 4
Geometrical acoustics,Sound & Acoustics,EXISTING,Batch 4
Wave acoustics,Sound & Acoustics,EXISTING,Batch 4
Paraxial approximation,Sound & Acoustics,EXISTING,Batch 4
Far-field approximation,Sound & Acoustics,EXISTING,Batch 4
Near-field approximation,Sound & Acoustics,EXISTING,Batch 4
Fraunhofer region,Sound & Acoustics,EXISTING,Batch 4
Fresnel region,Sound & Acoustics,EXISTING,Batch 4
Reactive near field,Sound & Acoustics,EXISTING,Batch 4
Radiating near field,Sound & Acoustics,EXISTING,Batch 4
Acoustic singularity,Sound & Acoustics,EXISTING,Batch 4
Acoustic vortex,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Orbital angular momentum of sound,Sound & Acoustics,EXISTING,Batch 4
Phase singularity,Sound & Acoustics,EXISTING,Batch 4
Nodal plane,Sound & Acoustics,EXISTING,Batch 4
Wave impedance,Sound & Acoustics,EXISTING,Batch 4
Transfer impedance,Sound & Acoustics,EXISTING,Batch 4
Acoustic impedance mismatch,Sound & Acoustics,EXISTING,Batch 4
Impedance boundary condition,Sound & Acoustics,EXISTING,Batch 4
Radiation boundary condition,Sound & Acoustics,EXISTING,Batch 4
Sommerfeld radiation condition,Sound & Acoustics,EXISTING,Batch 4
Spherical spreading loss,Sound & Acoustics,EXISTING,Batch 4
Cylindrical spreading loss,Sound & Acoustics,EXISTING,Batch 4
Molecular relaxation,Sound & Acoustics,EXISTING,Batch 4
Oxygen relaxation,Sound & Acoustics,EXISTING,Batch 4
Nitrogen relaxation,Sound & Acoustics,EXISTING,Batch 4
Thermoviscous loss,Sound & Acoustics,EXISTING,Batch 4
Viscous attenuation,Sound & Acoustics,EXISTING,Batch 4
Thermal attenuation,Sound & Acoustics,EXISTING,Batch 4
Boundary-layer attenuation,Sound & Acoustics,EXISTING,Batch 4
Insertion loss,Sound & Acoustics,EXISTING,Batch 4
Propagation loss,Sound & Acoustics,EXISTING,Batch 4
Acoustic extinction,Sound & Acoustics,EXISTING,Batch 4
Acoustic absorption coefficient,Sound & Acoustics,EXISTING,Batch 4
Energy absorption coefficient,Sound & Acoustics,EXISTING,Batch 4
Pressure reflection coefficient,Sound & Acoustics,EXISTING,Batch 4
Intensity reflection coefficient,Sound & Acoustics,EXISTING,Batch 4
Acoustic transmissivity,Sound & Acoustics,EXISTING,Batch 4
Acoustic reflectivity,Sound & Acoustics,EXISTING,Batch 4
Acoustic absorptivity,Sound & Acoustics,EXISTING,Batch 4
Normal-incidence absorption,Sound & Acoustics,EXISTING,Batch 4
Random-incidence absorption,Sound & Acoustics,EXISTING,Batch 4
Grazing incidence,Sound & Acoustics,EXISTING,Batch 4
Critical angle,Sound & Acoustics,EXISTING,Batch 4
Total internal reflection,Sound & Acoustics,EXISTING,Batch 4
Acoustic tunneling,Sound & Acoustics,EXISTING,Batch 4
Mode conversion,Sound & Acoustics,EXISTING,Batch 4
Guided-wave propagation,Sound & Acoustics,EXISTING,Batch 4
Leaky wave,Sound & Acoustics,EXISTING,Batch 4
Surface acoustic wave,Sound & Acoustics,EXISTING,Batch 4
Lamb wave,Sound & Acoustics,EXISTING,Batch 4
Love wave,Sound & Acoustics,EXISTING,Batch 4
Scholte wave,Sound & Acoustics,EXISTING,Batch 4
Stoneley wave,Sound & Acoustics,EXISTING,Batch 4
Rayleigh wave,Sound & Acoustics,EXISTING,Batch 4
Bulk acoustic wave,Sound & Acoustics,EXISTING,Batch 4
Shear wave,Sound & Acoustics,EXISTING,Batch 4
Torsional wave,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Linear acoustics,Sound & Acoustics,EXISTING,Batch 4
Weakly nonlinear acoustics,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Finite-amplitude acoustics,Sound & Acoustics,EXISTING,Batch 4
Nonlinear propagation,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Acoustic nonlinearity parameter,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Parameter of nonlinearity,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
B/A parameter,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Wave steepening,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Shock formation,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Acoustic shock,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Sawtooth wave formation,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Harmonic generation,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Subharmonic generation,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Difference-frequency generation,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Sum-frequency generation,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Parametric interaction,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Parametric acoustic array,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Parametric loudspeaker,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Self-demodulation,Sound & Acoustics,EXISTING,Batch 4
Acoustic rectification,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Nonlinear absorption,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Nonlinear resonance,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Mode coupling,Sound & Acoustics,EXISTING,Batch 4
Internal resonance,Sound & Acoustics,EXISTING,Batch 4
Bifurcation,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Acoustic cavitation,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Stable cavitation,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Inertial cavitation,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Cavitation threshold,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Bubble resonance,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Minnaert resonance,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Sonoluminescence,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Acoustic levitation,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Acoustic trapping,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Acoustic tweezers,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Phononic crystal,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Acoustic metamaterial,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Locally resonant metamaterial,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Negative effective mass density,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Negative bulk modulus,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Acoustic cloaking,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Transformation acoustics,Sound & Acoustics,EXISTING,Batch 4
Topological acoustics,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Acoustic bandgap,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Bragg scattering,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Subwavelength resonator,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Flow-induced noise,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Turbulent boundary-layer noise,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Vortex shedding,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Aeolian tone,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Strouhal number,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Reynolds number,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Mach number,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Convective Mach number,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Lighthill analogy,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Lighthill stress tensor,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Ffowcs Williams–Hawkings equation,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Curle analogy,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Acoustic analogy,Sound & Acoustics,EXISTING,Batch 4
Quadrupole source,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Dipole source,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Monopole source,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Jet noise,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Mixing noise,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Shock-associated noise,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Broadband shock-associated noise,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Screech tone,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Blade-passing frequency,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Rotor–stator interaction,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Trailing-edge noise,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Leading-edge noise,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Airfoil self-noise,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Cavity tone,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Edge tone,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Flow separation noise,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Turbulence ingestion noise,Sound & Acoustics,EXISTING,Batch 4
Combustion noise,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Thermoacoustic instability,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Helmholtz instability,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Wind-induced microphone noise,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Pressure turbulence,Sound & Acoustics,EXISTING,Batch 4
Hydrodynamic pressure fluctuation,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Turbulent pressure spectrum,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Wind-noise susceptibility,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Structural acoustics,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Vibroacoustic coupling,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Fluid–structure interaction,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Mechanical mobility,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Driving-point mobility,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Transfer mobility,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Mechanical impedance,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Point impedance,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Dynamic stiffness,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Modal stiffness,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Modal mass,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Modal damping,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Loss factor,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Structural loss factor,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Damping ratio,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Critical damping,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Underdamping,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Overdamping,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Complex stiffness,Sound & Acoustics,EXISTING,Batch 4
Mechanical admittance,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Accelerance,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Inertance,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Receptance,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Frequency-response function,Sound & Acoustics,EXISTING,Batch 4
Operational deflection shape,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Modal overlap,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Modal participation factor,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Effective modal mass,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Eigenfrequency,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Normal mode,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Rigid-body mode,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Bending mode,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Torsional mode,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Breathing mode,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Breakup mode,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Critical frequency,Sound & Acoustics,EXISTING,Batch 4
Stiffness-controlled region,Sound & Acoustics,EXISTING,Batch 4
Mass-controlled region,Sound & Acoustics,EXISTING,Batch 4
Damping-controlled region,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Radiation efficiency,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Radiation ratio,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Structural wave impedance,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Reciprocity transducer,Microphone Types & Transducers,EXISTING,Batch 4
Reciprocal microphone,Microphones,EXISTING,Batch 4
Nonreciprocal transducer,Microphones,EXISTING,Batch 4
Electrostatic transduction,Microphones,EXISTING,Batch 4
Electrodynamic transduction,Microphones,EXISTING,Batch 4
Electromagnetic induction,Microphones,EXISTING,Batch 4
Piezoelectric transduction,Microphones,EXISTING,Batch 4
Piezoresistive transduction,Microphones,EXISTING,Batch 4
Capacitive sensing,Microphones,EXISTING,Batch 4
Optical interferometric sensing,Microphone Types & Transducers,EXISTING,Batch 4
Fiber Bragg grating microphone,Microphone Types & Transducers,EXISTING,Batch 4
Magnetostrictive sensing,Microphones,EXISTING,Batch 4
Thermoacoustic sensing,Microphones,EXISTING,Batch 4
Photoacoustic microphone,Microphone Types & Transducers,EXISTING,Batch 4
Optoacoustic microphone,Microphone Types & Transducers,EXISTING,Batch 4
Ionophone microphone,Microphone Types & Transducers,EXISTING,Batch 4
Plasma microphone,Microphone Types & Transducers,EXISTING,Batch 4
Microflown sensor,Microphone Types & Transducers,EXISTING,Batch 4
Particle-velocity sensor,Microphones,EXISTING,Batch 4
Pressure–velocity probe,Microphones,EXISTING,Batch 4
Sound-intensity probe,Microphones,EXISTING,Batch 4
Differential-pressure microphone,Microphones,EXISTING,Batch 4
Pressure-gradient receiver,Microphones,EXISTING,Batch 4
First-order gradient microphone,Microphones,EXISTING,Batch 4
Second-order gradient microphone,Microphones,EXISTING,Batch 4
Zero-order microphone,Microphones,EXISTING,Batch 4
Higher-order microphone,Microphones,EXISTING,Batch 4
Coincident microphone array,Microphone Types & Transducers,EXISTING,Batch 4
Distributed microphone array,Microphone Types & Transducers,EXISTING,Batch 4
Sparse microphone array,Microphone Types & Transducers,EXISTING,Batch 4
Conformal microphone array,Microphone Types & Transducers,EXISTING,Batch 4
Spherical microphone array,Microphone Types & Transducers,EXISTING,Batch 4
Circular microphone array,Microphone Types & Transducers,EXISTING,Batch 4
Planar microphone array,Microphone Types & Transducers,EXISTING,Batch 4
Volumetric microphone array,Microphone Types & Transducers,EXISTING,Batch 4
Externally polarized condenser microphone,Microphone Types & Transducers,EXISTING,Batch 4
Prepolarized condenser microphone,Microphone Types & Transducers,EXISTING,Batch 4
Permanently polarized microphone,Microphone Types & Transducers,EXISTING,Batch 4
Electret polarization,Microphone Types & Transducers,EXISTING,Batch 4
Back-electret microphone,Microphones,EXISTING,Batch 4
Front-electret microphone,Microphones,EXISTING,Batch 4
Foil-electret microphone,Microphones,EXISTING,Batch 4
Surface potential,Microphones,EXISTING,Batch 4
Polarization voltage,Microphone Types & Transducers,EXISTING,Batch 4
Bias voltage,Microphones,EXISTING,Batch 4
Diaphragm–backplate capacitance,Microphone Types & Transducers,EXISTING,Batch 4
Static capacitance,Microphone Types & Transducers,EXISTING,Batch 4
Capacitance variation,Microphone Types & Transducers,EXISTING,Batch 4
Electrostatic attraction,Microphone Types & Transducers,EXISTING,Batch 4
Diaphragm collapse,Microphone Types & Transducers,EXISTING,Batch 4
Pull-in voltage,Microphone Types & Transducers,EXISTING,Batch 4
Backplate perforation,Microphone Types & Transducers,EXISTING,Batch 4
Venting time constant,Microphone Types & Transducers,EXISTING,Batch 4
Pressure equalization vent,Microphones,EXISTING,Batch 4
Barometric pressure coefficient,Microphone Types & Transducers,EXISTING,Batch 4
Static-pressure coefficient,Microphone Types & Transducers,EXISTING,Batch 4
Temperature coefficient,Microphone Types & Transducers,EXISTING,Batch 4
Humidity coefficient,Microphone Types & Transducers,EXISTING,Batch 4
Environmental sensitivity,Microphones,EXISTING,Batch 4
Diaphragm resonance,Microphones,EXISTING,Batch 4
Cavity resonance,Microphones,EXISTING,Batch 4
Back-volume compliance,Microphone Types & Transducers,EXISTING,Batch 4
Vent resistance,Microphone Types & Transducers,EXISTING,Batch 4
Acoustic leakage,Microphones,EXISTING,Batch 4
Protection-grid correction,Microphone Types & Transducers,EXISTING,Batch 4
Grid diffraction,Microphone Types & Transducers,EXISTING,Batch 4
Incidence correction,Microphone Types & Transducers,EXISTING,Batch 4
Pressure-field correction,Microphone Types & Transducers,EXISTING,Batch 4
Diffuse-field correction,Microphone Types & Transducers,EXISTING,Batch 4
Random-incidence correction,Microphone Types & Transducers,EXISTING,Batch 4
Laboratory standard microphone,Microphone Types & Transducers,EXISTING,Batch 4
Working standard microphone,Microphone Types & Transducers,EXISTING,Batch 4
Transfer standard microphone,Microphone Types & Transducers,EXISTING,Batch 4
Sound-level-meter microphone,Microphones,EXISTING,Batch 4
Half-inch measurement microphone,Microphones,EXISTING,Batch 4
Quarter-inch measurement microphone,Microphones,EXISTING,Batch 4
One-inch measurement microphone,Microphones,EXISTING,Batch 4
Free-field microphone,Microphones,EXISTING,Batch 4
Diffuse-field microphone,Microphones,EXISTING,Batch 4
Low-frequency microphone,Microphones,EXISTING,Batch 4
High-level microphone,Microphones,EXISTING,Batch 4
Infrasonic microphone,Microphones,EXISTING,Batch 4
Ultrasonic microphone,Microphones,EXISTING,Batch 4
Complex sensitivity,Microphone Types & Transducers,EXISTING,Batch 4
Pressure sensitivity,Microphone Types & Transducers,EXISTING,Batch 4
Loaded sensitivity,Microphones,EXISTING,Batch 4
Sensitivity level,Microphone Types & Transducers,EXISTING,Batch 4
Phase sensitivity,Microphones,EXISTING,Batch 4
Magnitude sensitivity,Microphones,EXISTING,Batch 4
Reciprocity calibration,Microphone Types & Transducers,EXISTING,Batch 4
Primary calibration,Microphone Types & Transducers,EXISTING,Batch 4
Secondary calibration,Microphone Types & Transducers,EXISTING,Batch 4
Comparison calibration,Microphone Types & Transducers,EXISTING,Batch 4
Substitution calibration,Microphone Types & Transducers,EXISTING,Batch 4
Simultaneous comparison,Microphones,EXISTING,Batch 4
Electrostatic actuator calibration,Microphone Types & Transducers,EXISTING,Batch 4
Pistonphone calibration,Microphone Types & Transducers,EXISTING,Batch 4
Sound-calibrator verification,Microphones,EXISTING,Batch 4
Insert-voltage technique,Microphone Types & Transducers,EXISTING,Batch 4
Microphone reciprocity,Microphone Types & Transducers,EXISTING,Batch 4
Reciprocity parameter,Microphone Types & Transducers,EXISTING,Batch 4
Coupler reciprocity,Microphone Types & Transducers,EXISTING,Batch 4
Free-field reciprocity,Microphone Types & Transducers,EXISTING,Batch 4
Pressure reciprocity,Microphone Types & Transducers,EXISTING,Batch 4
Calibration uncertainty,Microphone Types & Transducers,EXISTING,Batch 4
Expanded uncertainty,Microphones,EXISTING,Batch 4
Traceability chain,Microphones,EXISTING,Batch 4
Reference environmental conditions,Microphones,EXISTING,Batch 4
Calibration drift,Microphone Types & Transducers,EXISTING,Batch 4
Equivalent acoustic noise,Microphone Types & Transducers,EXISTING,Batch 4
Brownian noise,Microphone Types & Transducers,EXISTING,Batch 4
Thermal noise,Microphone Types & Transducers,EXISTING,Batch 4
Johnson–Nyquist noise,Microphone Types & Transducers,EXISTING,Batch 4
Shot noise,Microphone Types & Transducers,EXISTING,Batch 4
Flicker noise,Microphone Types & Transducers,EXISTING,Batch 4
1/f noise,Microphone Types & Transducers,EXISTING,Batch 4
Dielectric noise,Microphone Types & Transducers,EXISTING,Batch 4
Preamplifier voltage noise,Microphone Types & Transducers,EXISTING,Batch 4
Preamplifier current noise,Microphone Types & Transducers,EXISTING,Batch 4
Noise spectral density,Microphone Types & Transducers,EXISTING,Batch 4
Voltage-noise density,Microphone Types & Transducers,EXISTING,Batch 4
