term,subject,landing_topic,status,source_batch
ADR proximity mismatch,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
ADR room mismatch,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
ADR spotting,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
ADR squeeze,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
ADR stretch,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
ADR take lane,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
ADR target,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
ADR tonal match,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
ADR wipe,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Additional dialogue recording,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Automatic dialogue replacement,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Background principal,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Bande rythmo,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Bilabial sync point,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Booth tone,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Booth-mode coloration,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Cadence match,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Call-and-response walla,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Copy stand noise,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Crossing voices,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Cue streamer,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Dead cue,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Drop-in,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Energy match,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Final-approved read,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
General walla,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Group ADR,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Guide VO,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Hard-sync line,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Head pickup,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Head-sync / tail-sync tradeoff,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Headphone-shell leakage,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Hydration shift,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Incidental dialogue,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Inflection match,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Insert read,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Internal ADR sync,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Labial anchor,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Lead-in read,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Lip closure,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Loop group,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Looping,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Mic-position recall,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Mid-sentence pickup,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Missing fourth beep,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Monitor bleed print,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Off-camera ADR,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Omni crowd,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Open-mouth vowel hold,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Page-turn mitigation,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Pass-by chatter,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Patch read,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Performance drift,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Period walla,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Phrase-tail match,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Pick-up boundary,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Pick-up match,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Pickup drift,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Post-roll contamination,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Post-sync,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Pre-roll chatter,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Punch cue,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Punch-and-roll,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Resonance match,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Rhythmo band,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Rock-and-roll recording,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Room-tone capture,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Scratch read,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Session-tone drift,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Slate contamination,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Soft-sync line,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Specific walla,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Sync ADR,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Tail pickup,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Tail room,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Temp narration,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Three-beep cue,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Throwaway lead-in,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Vocabulary-safe walla,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Vocal fatigue drift,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Voice-match note,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Walla bed,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Walla contour,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Walla density,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Walla perspective,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Walla poke-through,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Walla sweetener,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Wild ADR,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Wild line,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
Wild pickup,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
A/B dialogue checkerboarding,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Acoustic discontinuity,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Adaptive-threshold chasing,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Alternate-channel mining,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Alternate-take surgery,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Ambience matching,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Ambience stripping,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Aspiration loss,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Attenuate-versus-replace decision,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Background perspective match,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Boom lane,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Boom perspective drift,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Boom shadowing,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Boom-lav phase interaction,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Breath attenuation,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Breath graft,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Breath matching,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Breath replacement,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Breath shaping,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Breath-hole repair,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Broadband rustle,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Button knock,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Cable knock,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Cable rub,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Capsule scrape,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Character splitting,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Chest rub,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Concealment muffling,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Consonant erosion,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Consonant graft,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
DX,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
DX A / DX B,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
De-plosive overreach,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Denoise modulation,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Denture click,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Dialogue assembly,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Dialogue conform,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Dialogue declicking,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Dialogue fill,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Dialogue tracklay,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Dialogue-isolation residue,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Dialogue-tainted PFX,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Dynamic phase alignment,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Edit exposure,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Ess-hole,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Fabric tick,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Field-recorder expansion,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Fill bed,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Fill buildup,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Fill harvesting,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Fill loop,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Fill pull,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Fill pumping,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Fill seam,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Formant smearing,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Guide dialogue,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Handle preservation,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Head-turn loss,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Inhale truncation,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Intermittent rustle,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Jewelry tick,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Lav chest resonance,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Lav crackle,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Lav lane,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Lav rustle,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Lip-smack suppression,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Mic-angle change,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Micro-comping,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Microphone splitting,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Mix-track guide,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Mouth declicking,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Mouth-noise cluster,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Musical-noise artifact,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Noise-floor choreography,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Noise-floor stepping,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Noise-print mismatch,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Overlap track,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
PDX,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
PFX,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
PFX continuity,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
PFX extraction,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
PFX isolation,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
PFX marriage,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
PFX pull,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
PFX sweetener,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Palatal click,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Parking track,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Performance comping,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Perspective discontinuity,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Phasey speech,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Phoneme patching,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Picture reconform,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Plant lane,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Plosive reconstruction,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Plosive shadow,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Post-cut fill,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Pre-action fill,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Production dialogue pull,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Production sound roll,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
RF hash,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
RF spit,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Reference production,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Residual plosive,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Restoration chirp,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Reversed fill,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Room-tone collapse,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Room-tone contouring,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Room-tone pumping,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Safety dialogue track,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Saliva click,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Scene checkerboarding,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Scratch DX,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Setup checkerboarding,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Sibilant graft,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Sibilant lisping,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Sibilant replacement,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Sound-roll metadata,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Spectral attenuation pass,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Spectral hole,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Spectral patching,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Syllable replacement,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Tongue click artifact,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Track dressing,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Transfer track,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Transient erosion,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Under-clothing resonance,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Underwater dialogue,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Variable interchannel offset,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Vocal granulation,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Voice-extraction halo,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Vowel graft,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Wireless compander artifact,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Word-end repair,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
X track,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
X-dialogue,Film/TV Post & Dialogue,Dialogue Editing,EXISTING,Batch 1
Accent mapping,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Accent neutralization,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Accent substitution,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Acoustic localization match,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Actor-voice pairing,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Adaptation loss,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Back-to-camera liberty,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 1
Bilabial matching,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 1
Bilingual dubbing,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Block recording,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Character drift,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Character synchrony,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 1
Character-voice assignment,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Cold-loop recording,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Collective dubbing,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Commentary replacement,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Compliance localization,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Context recording,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Creative QC,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Creative supervisor,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Cross-title casting,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Cue extraction,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Cue fatigue,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Cue subdivision,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Cultural compensation,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Cultural explicitation,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Cultural neutralization,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Cultural retention,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Cultural substitution,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Cultural transplantation,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Detection,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Detection script,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Dialect leveling,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Dialect neutralization,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Dialect relocation,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Dialogue detection,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Dialogue director,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Dialogue-bearing effect,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Double translation,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Dragged delivery,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Dub QC,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Dub dialogue stem,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Dub-stage foldback,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 1
Dub-stage integration,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Dubbing adapter,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Dubbing author,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Dubbing mix,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Dubbing rhythm,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 1
Dubbing script adaptation,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 1
Dubbing-down,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Dubbing-up,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Dynamic equivalence,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Effort vocal,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 1
Efforts pass,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 1
Embedded dialogue,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
End-sync error,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Ensemble dubbing,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Entry tolerance,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 1
Euphemistic substitution,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Exit tolerance,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 1
Fandubbing,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Fixed voice,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Flap coverage,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 1
Flap violation,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Foreign dialogue stem,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Foreign-language walla,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 1
Foreign-version Foley,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Foreign-version QC,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Foreign-version mix,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Franchise voice continuity,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Full dubbing,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Functional equivalence,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Fundubbing,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Gavrilov translation,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Guide bleed,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Guide-track dependency,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Honorific adaptation,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
In-territory QC,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Indirect dubbing,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Individual-band recording,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Internal-sync error,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
International Foley,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
International-version reconstruction,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Isochrony,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 1
Kinetic synchrony,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 1
Kinship-term localization,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Language contamination,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Language supervisor,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Language-bearing effort,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Language-neutral effort,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Language-neutral vocalization,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Lectoring,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Lecturing,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Legacy voice,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Line isometry,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 1
Line-by-line dubbing,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Linguistic QC,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Linguistic director,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Lip synchrony,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 1
Lip-sync adaptation,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 1
